------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Indiana",18000,0.2,15027,"44 of 52"
"United States",00000,0.8,2632102,"N/A"
"Brown County",18013,0.0,0,"2960 of 3141"
"Fayette County",18041,0.0,0,"2960 of 3141"
"Pike County",18125,0.0,0,"2960 of 3141"
"Rush County",18139,0.0,0,"2960 of 3141"
"Switzerland County",18155,0.0,0,"2960 of 3141"
"Union County",18161,0.0,0,"2960 of 3141"
"Benton County",18007,0.0,1,"2943 of 3141"
"Posey County",18129,0.0,5,"2925 of 3141"
"Tipton County",18159,0.0,3,"2923 of 3141"
"Franklin County",18047,0.0,6,"2907 of 3141"
"Noble County",18113,0.0,13,"2903 of 3141"
"Greene County",18055,0.0,9,"2902 of 3141"
"Daviess County",18027,0.0,11,"2878 of 3141"
"Randolph County",18135,0.0,10,"2854 of 3141"
"Adams County",18001,0.0,16,"2833 of 3141"
"LaGrange County",18087,0.1,20,"2814 of 3141"
"DeKalb County",18033,0.1,23,"2803 of 3141"
"Morgan County",18109,0.1,39,"2798 of 3141"
"Knox County",18083,0.1,24,"2768 of 3141"
"Clay County",18021,0.1,18,"2751 of 3141"
"Steuben County",18151,0.1,25,"2734 of 3141"
