------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Indiana",18000,29.2,1929597,"25 of 52"
"United States",00000,29.8,95565066,"N/A"
"Brown County",18013,20.1,3019,"194 of 3141"
"Warren County",18171,22.1,1827,"460 of 3141"
"Pike County",18125,22.5,2802,"544 of 3141"
"Spencer County",18147,22.9,4718,"659 of 3141"
"Blackford County",18009,22.9,2801,"671 of 3141"
"Ohio County",18115,23.0,1358,"681 of 3141"
"Fountain County",18045,23.0,3827,"700 of 3141"
"Dearborn County",18029,23.3,11543,"770 of 3141"
"Franklin County",18047,23.4,5336,"784 of 3141"
"Benton County",18007,23.4,2030,"787 of 3141"
"Crawford County",18025,23.5,2486,"807 of 3141"
"Owen County",18119,23.6,4941,"845 of 3141"
"Fulton County",18049,23.7,4802,"872 of 3141"
"Greene County",18055,23.9,7743,"933 of 3141"
"Carroll County",18015,24.0,4806,"987 of 3141"
"Randolph County",18135,24.1,6071,"1005 of 3141"
"Vermillion County",18165,24.2,3787,"1039 of 3141"
"Tipton County",18159,24.2,3704,"1046 of 3141"
"Union County",18161,24.3,1753,"1056 of 3141"
"White County",18181,24.3,5899,"1065 of 3141"
"Jay County",18075,24.3,5131,"1068 of 3141"
"Martin County",18101,24.4,2493,"1081 of 3141"
"Starke County",18149,24.4,5604,"1085 of 3141"
"Posey County",18129,24.6,6298,"1155 of 3141"
"Fayette County",18041,24.6,5766,"1161 of 3141"
"Switzerland County",18155,24.7,2621,"1189 of 3141"
"Orange County",18117,24.7,4846,"1191 of 3141"
"Lawrence County",18093,24.8,11306,"1215 of 3141"
"Warrick County",18173,24.8,15264,"1234 of 3141"
"Washington County",18175,24.8,6896,"1239 of 3141"
"Marshall County",18099,24.8,11597,"1241 of 3141"
"Rush County",18139,24.8,4165,"1253 of 3141"
"Morgan County",18109,24.9,17348,"1297 of 3141"
"Newton County",18111,25.0,3507,"1298 of 3141"
"Harrison County",18061,25.0,9848,"1303 of 3141"
"Ripley County",18137,25.0,7095,"1320 of 3141"
"Dubois County",18037,25.0,10613,"1332 of 3141"
"Shelby County",18145,25.1,11123,"1349 of 3141"
"Boone County",18011,25.1,15844,"1364 of 3141"
"Whitley County",18183,25.2,8444,"1388 of 3141"
"Howard County",18067,25.4,20910,"1435 of 3141"
"Adams County",18001,25.4,8908,"1463 of 3141"
"Cass County",18017,25.5,9764,"1504 of 3141"
"Wells County",18179,25.5,7111,"1509 of 3141"
"Pulaski County",18131,25.6,3266,"1523 of 3141"
"Clay County",18021,25.6,6755,"1531 of 3141"
"Clinton County",18023,25.6,8314,"1533 of 3141"
"Hancock County",18059,25.8,18776,"1589 of 3141"
"Scott County",18143,25.8,6129,"1603 of 3141"
"Parke County",18121,26.0,4437,"1658 of 3141"
"Gibson County",18051,26.0,8744,"1664 of 3141"
"Wabash County",18169,26.1,8313,"1684 of 3141"
"Steuben County",18151,26.1,9005,"1695 of 3141"
"Henry County",18065,26.2,12747,"1716 of 3141"
"LaGrange County",18087,26.3,10198,"1759 of 3141"
"Montgomery County",18107,26.4,10108,"1772 of 3141"
"Wayne County",18177,26.5,17717,"1794 of 3141"
"Daviess County",18027,26.5,8676,"1803 of 3141"
"DeKalb County",18033,26.5,11263,"1807 of 3141"
"Jennings County",18079,26.6,7402,"1847 of 3141"
"Noble County",18113,26.7,12646,"1871 of 3141"
"Decatur County",18031,26.7,7081,"1894 of 3141"
"Jasper County",18073,27.0,9031,"1966 of 3141"
