------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Indiana",18000,6.7,441968,"33 of 52"
"United States",00000,17.6,56510571,"N/A"
"Union County",18161,0.0,1,"3131 of 3141"
"Martin County",18101,0.4,37,"3089 of 3141"
"Pike County",18125,0.5,67,"3057 of 3141"
"Ohio County",18115,1.0,58,"2938 of 3141"
"Fayette County",18041,1.0,240,"2924 of 3141"
"Franklin County",18047,1.1,250,"2902 of 3141"
"Posey County",18129,1.1,284,"2898 of 3141"
"Vermillion County",18165,1.1,178,"2886 of 3141"
"Owen County",18119,1.2,244,"2878 of 3141"
"Dearborn County",18029,1.2,594,"2861 of 3141"
"Perry County",18123,1.3,250,"2804 of 3141"
"Washington County",18175,1.3,363,"2800 of 3141"
"Greene County",18055,1.3,426,"2796 of 3141"
"Clay County",18021,1.3,347,"2792 of 3141"
"Switzerland County",18155,1.4,148,"2758 of 3141"
"Orange County",18117,1.4,280,"2735 of 3141"
"Crawford County",18025,1.5,154,"2714 of 3141"
"Morgan County",18109,1.5,1020,"2707 of 3141"
"Parke County",18121,1.5,252,"2700 of 3141"
"Gibson County",18051,1.5,505,"2678 of 3141"
"Blackford County",18009,1.5,184,"2672 of 3141"
"Rush County",18139,1.5,254,"2665 of 3141"
"Warren County",18171,1.5,127,"2658 of 3141"
"Lawrence County",18093,1.6,721,"2617 of 3141"
"Brown County",18013,1.6,243,"2597 of 3141"
"Henry County",18065,1.7,813,"2570 of 3141"
"Harrison County",18061,1.7,677,"2546 of 3141"
"Sullivan County",18153,1.7,360,"2540 of 3141"
"Warrick County",18173,1.8,1090,"2515 of 3141"
"Ripley County",18137,1.8,509,"2498 of 3141"
"Knox County",18083,1.8,685,"2482 of 3141"
"Decatur County",18031,1.9,497,"2450 of 3141"
"Whitley County",18183,1.9,638,"2434 of 3141"
"Scott County",18143,2.1,495,"2336 of 3141"
"Hancock County",18059,2.2,1593,"2275 of 3141"
"Huntington County",18069,2.2,800,"2273 of 3141"
"Delaware County",18035,2.3,2661,"2217 of 3141"
"Jennings County",18079,2.3,645,"2204 of 3141"
"Fountain County",18045,2.4,402,"2153 of 3141"
"Wabash County",18169,2.5,807,"2100 of 3141"
"Putnam County",18133,2.5,954,"2093 of 3141"
"Vanderburgh County",18163,2.5,4621,"2092 of 3141"
"Vigo County",18167,2.6,2772,"2078 of 3141"
"Tipton County",18159,2.6,398,"2064 of 3141"
"Jefferson County",18077,2.6,846,"2059 of 3141"
"Boone County",18011,2.7,1729,"1995 of 3141"
"Wells County",18179,2.8,769,"1986 of 3141"
"DeKalb County",18033,2.8,1175,"1985 of 3141"
"Wayne County",18177,2.8,1892,"1954 of 3141"
"Spencer County",18147,2.9,590,"1931 of 3141"
"Pulaski County",18131,2.9,366,"1930 of 3141"
"Miami County",18103,3.0,1066,"1900 of 3141"
"Jay County",18075,3.0,637,"1876 of 3141"
"Floyd County",18043,3.1,2360,"1840 of 3141"
"Howard County",18067,3.2,2602,"1821 of 3141"
"Randolph County",18135,3.3,821,"1774 of 3141"
"Monroe County",18105,3.3,4799,"1748 of 3141"
"Johnson County",18081,3.5,5175,"1711 of 3141"
"Steuben County",18151,3.5,1196,"1709 of 3141"
"Starke County",18149,3.5,812,"1689 of 3141"
"Hendricks County",18063,3.6,5737,"1665 of 3141"
"Hamilton County",18057,3.8,11840,"1606 of 3141"
"Madison County",18095,3.8,4968,"1605 of 3141"
"LaGrange County",18087,3.9,1510,"1589 of 3141"
"Carroll County",18015,3.9,780,"1587 of 3141"
"Shelby County",18145,4.0,1786,"1555 of 3141"
"Grant County",18053,4.1,2802,"1522 of 3141"
"Adams County",18001,4.4,1554,"1442 of 3141"
"Montgomery County",18107,4.7,1807,"1378 of 3141"
"Daviess County",18027,4.8,1562,"1366 of 3141"
"Fulton County",18049,5.0,1014,"1316 of 3141"
"Benton County",18007,5.1,442,"1298 of 3141"
"Clark County",18019,5.3,6039,"1263 of 3141"
"Jasper County",18073,5.9,1989,"1139 of 3141"
"Newton County",18111,6.1,859,"1107 of 3141"
"LaPorte County",18091,6.3,6935,"1088 of 3141"
"Jackson County",18071,6.4,2819,"1067 of 3141"
"Bartholomew County",18005,6.5,5253,"1058 of 3141"
"Dubois County",18037,7.1,2996,"992 of 3141"
"Allen County",18003,7.2,26546,"974 of 3141"
"Kosciusko County",18085,7.9,6201,"898 of 3141"
"White County",18181,7.9,1921,"897 of 3141"
"Tippecanoe County",18157,8.1,15135,"885 of 3141"
"St. Joseph County",18141,8.3,22423,"864 of 3141"
"Porter County",18127,9.6,16067,"768 of 3141"
"Marshall County",18099,9.7,4517,"762 of 3141"
"Marion County",18097,10.1,94609,"723 of 3141"
"Noble County",18113,10.2,4825,"715 of 3141"
"Cass County",18017,14.6,5567,"528 of 3141"
"Clinton County",18023,15.2,4932,"507 of 3141"
"Elkhart County",18039,15.4,31179,"502 of 3141"
"Lake County",18089,18.4,89875,"420 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
