------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Indiana",18000,14.6,933540,"29 of 52"
"United States",00000,14.6,45650345,"N/A"
"Hamilton County",18057,5.0,15322,"37 of 3141"
"Ohio County",18115,5.0,288,"38 of 3141"
"Hendricks County",18063,5.1,7832,"41 of 3141"
"Boone County",18011,6.1,3820,"93 of 3141"
"Hancock County",18059,7.0,5037,"145 of 3141"
"Warrick County",18173,7.7,4656,"201 of 3141"
"Union County",18161,8.2,583,"262 of 3141"
"Jasper County",18073,9.0,2898,"348 of 3141"
"LaGrange County",18087,9.1,3489,"378 of 3141"
"Noble County",18113,9.3,4295,"401 of 3141"
"Tipton County",18159,9.4,1414,"431 of 3141"
"Johnson County",18081,9.4,13820,"432 of 3141"
"Whitley County",18183,9.5,3117,"443 of 3141"
"Warren County",18171,9.5,762,"444 of 3141"
"Posey County",18129,9.5,2398,"446 of 3141"
"Spencer County",18147,9.7,1964,"467 of 3141"
"Clark County",18019,9.7,10981,"478 of 3141"
"White County",18181,9.8,2342,"494 of 3141"
"Franklin County",18047,9.9,2248,"516 of 3141"
"Dubois County",18037,10.0,4150,"541 of 3141"
"Dearborn County",18029,10.1,4925,"551 of 3141"
"Steuben County",18151,10.1,3325,"557 of 3141"
"Montgomery County",18107,10.2,3734,"563 of 3141"
"Carroll County",18015,10.2,2015,"566 of 3141"
"Ripley County",18137,10.5,2916,"616 of 3141"
"Brown County",18013,10.6,1566,"631 of 3141"
"Shelby County",18145,10.6,4623,"649 of 3141"
"Pike County",18125,10.6,1300,"650 of 3141"
"Gibson County",18051,10.7,3497,"661 of 3141"
"Floyd County",18043,10.8,8104,"678 of 3141"
"Porter County",18127,11.0,17954,"713 of 3141"
"Wells County",18179,11.0,3011,"720 of 3141"
"Kosciusko County",18085,11.2,8600,"746 of 3141"
"Decatur County",18031,11.4,2957,"792 of 3141"
"Lawrence County",18093,11.5,5150,"816 of 3141"
"Marshall County",18099,11.5,5302,"822 of 3141"
"Putnam County",18133,11.6,3696,"836 of 3141"
"Huntington County",18069,11.6,4057,"849 of 3141"
"Morgan County",18109,11.8,8073,"893 of 3141"
"Bartholomew County",18005,12.4,9870,"984 of 3141"
"DeKalb County",18033,12.5,5262,"1015 of 3141"
"Fountain County",18045,12.6,2047,"1032 of 3141"
"Blackford County",18009,12.8,1534,"1075 of 3141"
"Greene County",18055,12.9,4114,"1082 of 3141"
"Harrison County",18061,12.9,5005,"1083 of 3141"
"Daviess County",18027,13.0,4184,"1104 of 3141"
"Pulaski County",18131,13.2,1663,"1165 of 3141"
"Clinton County",18023,13.3,4187,"1178 of 3141"
"Washington County",18175,13.3,3644,"1181 of 3141"
"Fulton County",18049,13.3,2655,"1198 of 3141"
"Martin County",18101,13.3,1330,"1203 of 3141"
"Wabash County",18169,13.3,3993,"1204 of 3141"
"Vermillion County",18165,13.4,2066,"1223 of 3141"
"Jefferson County",18077,13.7,4055,"1268 of 3141"
"Scott County",18143,13.7,3198,"1290 of 3141"
"Elkhart County",18039,13.8,27452,"1303 of 3141"
"Clay County",18021,13.9,3584,"1310 of 3141"
"Cass County",18017,13.9,5170,"1313 of 3141"
"Parke County",18121,13.9,2153,"1327 of 3141"
"Jennings County",18079,13.9,3815,"1330 of 3141"
"Newton County",18111,14.0,1932,"1338 of 3141"
"Perry County",18123,14.5,2529,"1440 of 3141"
"Allen County",18003,14.7,53204,"1478 of 3141"
"Benton County",18007,14.9,1271,"1507 of 3141"
"Orange County",18117,15.0,2892,"1546 of 3141"
"Jackson County",18071,15.6,6650,"1643 of 3141"
"Owen County",18119,15.6,3230,"1653 of 3141"
"Knox County",18083,15.6,5512,"1658 of 3141"
"Sullivan County",18153,15.6,2934,"1660 of 3141"
"Miami County",18103,16.0,5363,"1735 of 3141"
"Henry County",18065,16.1,7253,"1762 of 3141"
"Howard County",18067,16.5,13400,"1830 of 3141"
"LaPorte County",18091,16.6,16924,"1843 of 3141"
