------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Indiana",18000,23.8,1528285,"28 of 52"
"Hamilton County",18057,8.2,25245,"13 of 3141"
"Ohio County",18115,9.6,555,"36 of 3141"
"Hendricks County",18063,10.5,16322,"57 of 3141"
"Boone County",18011,11.6,7251,"78 of 3141"
"Hancock County",18059,12.3,8835,"106 of 3141"
"Warrick County",18173,13.8,8356,"169 of 3141"
"Posey County",18129,15.6,3947,"271 of 3141"
"Dubois County",18037,16.1,6695,"311 of 3141"
"Johnson County",18081,16.3,23996,"330 of 3141"
"Dearborn County",18029,17.1,8320,"395 of 3141"
"Porter County",18127,17.1,27905,"399 of 3141"
"Warren County",18171,17.2,1388,"415 of 3141"
"Whitley County",18183,17.3,5684,"417 of 3141"
"Jasper County",18073,17.4,5636,"431 of 3141"
"Spencer County",18147,17.6,3584,"455 of 3141"
"Steuben County",18151,17.8,5839,"465 of 3141"
"Floyd County",18043,18.3,13729,"516 of 3141"
"Kosciusko County",18085,18.7,14365,"573 of 3141"
"Morgan County",18109,18.8,12839,"590 of 3141"
"Tipton County",18159,18.9,2836,"596 of 3141"
"Decatur County",18031,18.9,4907,"602 of 3141"
"Noble County",18113,19.3,8949,"636 of 3141"
"Carroll County",18015,19.3,3819,"640 of 3141"
"Wells County",18179,19.3,5266,"643 of 3141"
"Brown County",18013,19.5,2889,"662 of 3141"
"White County",18181,19.5,4654,"664 of 3141"
"Franklin County",18047,19.5,4444,"675 of 3141"
"Bartholomew County",18005,19.6,15672,"689 of 3141"
"Montgomery County",18107,19.7,7253,"705 of 3141"
"Putnam County",18133,19.9,6343,"722 of 3141"
"Ripley County",18137,20.0,5581,"750 of 3141"
"Harrison County",18061,20.1,7801,"752 of 3141"
"Gibson County",18051,20.3,6641,"785 of 3141"
"Shelby County",18145,20.5,8908,"816 of 3141"
"Clark County",18019,20.6,23293,"827 of 3141"
"LaGrange County",18087,20.7,7906,"836 of 3141"
"Huntington County",18069,20.8,7260,"852 of 3141"
"DeKalb County",18033,20.9,8789,"869 of 3141"
"Vermillion County",18165,21.9,3368,"1001 of 3141"
"Pike County",18125,22.1,2699,"1024 of 3141"
"Fulton County",18049,22.4,4452,"1055 of 3141"
"Wabash County",18169,22.5,6730,"1075 of 3141"
"Greene County",18055,22.7,7266,"1107 of 3141"
"Pulaski County",18131,22.8,2878,"1127 of 3141"
"Fountain County",18045,23.1,3750,"1162 of 3141"
"Jefferson County",18077,23.2,6892,"1170 of 3141"
"Lawrence County",18093,23.3,10426,"1188 of 3141"
"Clay County",18021,23.4,6052,"1201 of 3141"
"Union County",18161,23.6,1674,"1229 of 3141"
"Scott County",18143,23.9,5573,"1277 of 3141"
"Martin County",18101,24.1,2407,"1308 of 3141"
"Clinton County",18023,24.2,7636,"1313 of 3141"
"Elkhart County",18039,24.3,48281,"1325 of 3141"
"Marshall County",18099,24.4,11206,"1340 of 3141"
"Owen County",18119,24.5,5070,"1363 of 3141"
"Blackford County",18009,24.6,2936,"1372 of 3141"
"Allen County",18003,24.6,89022,"1388 of 3141"
"Washington County",18175,24.6,6773,"1391 of 3141"
"Jennings County",18079,24.7,6765,"1401 of 3141"
"Perry County",18123,25.1,4365,"1455 of 3141"
"Howard County",18067,25.1,20362,"1457 of 3141"
"Jackson County",18071,25.5,10879,"1507 of 3141"
"Lake County",18089,25.6,123584,"1535 of 3141"
"Newton County",18111,25.9,3570,"1564 of 3141"
"Daviess County",18027,26.1,8402,"1593 of 3141"
"Henry County",18065,26.4,11901,"1647 of 3141"
"LaPorte County",18091,26.5,27062,"1659 of 3141"
"Benton County",18007,26.7,2280,"1692 of 3141"
"Knox County",18083,26.8,9456,"1712 of 3141"
"Cass County",18017,26.8,10002,"1713 of 3141"
"St. Joseph County",18141,26.9,69066,"1723 of 3141"
"Rush County",18139,27.2,4487,"1760 of 3141"
"Sullivan County",18153,27.2,5098,"1761 of 3141"
"Randolph County",18135,27.3,6742,"1777 of 3141"
"Vanderburgh County",18163,28.0,49048,"1881 of 3141"
"Madison County",18095,28.5,35065,"1946 of 3141"
"Miami County",18103,28.5,9595,"1963 of 3141"
"Adams County",18001,28.6,9748,"1968 of 3141"
"Starke County",18149,28.6,6541,"1970 of 3141"
"Orange County",18117,28.7,5522,"1983 of 3141"
"Parke County",18121,29.0,4494,"2020 of 3141"
"Wayne County",18177,29.4,18897,"2066 of 3141"
"Tippecanoe County",18157,29.4,50014,"2072 of 3141"
"Jay County",18075,29.9,6193,"2131 of 3141"
"Grant County",18053,30.1,18733,"2150 of 3141"
"Fayette County",18041,31.2,7184,"2281 of 3141"
"Marion County",18097,31.3,287810,"2290 of 3141"
"Delaware County",18035,31.8,34613,"2342 of 3141"
"Crawford County",18025,32.1,3338,"2360 of 3141"
"Vigo County",18167,32.8,32360,"2434 of 3141"
"Monroe County",18105,33.0,42731,"2463 of 3141"
"Switzerland County",18155,34.2,3585,"2566 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
