------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Indiana",18000,5.0,333660,"33 of 51"
"United States",00000,13.4,43028127,"N/A"
"Crawford County",18025,0.3,33,"3067 of 3140"
"Washington County",18175,0.5,126,"3017 of 3140"
"Warren County",18171,0.5,38,"3012 of 3140"
"Martin County",18101,0.5,47,"3011 of 3140"
"Greene County",18055,0.5,160,"2998 of 3140"
"Union County",18161,0.5,36,"2995 of 3140"
"Rush County",18139,0.5,91,"2971 of 3140"
"Fayette County",18041,0.6,129,"2962 of 3140"
"Posey County",18129,0.6,157,"2929 of 3140"
"Ohio County",18115,0.7,39,"2891 of 3140"
"Franklin County",18047,0.7,157,"2869 of 3140"
"Henry County",18065,0.7,343,"2856 of 3140"
"Perry County",18123,0.7,137,"2849 of 3140"
"Clay County",18021,0.8,199,"2820 of 3140"
"Vermillion County",18165,0.9,133,"2756 of 3140"
"Adams County",18001,0.9,330,"2689 of 3140"
"Whitley County",18183,1.0,334,"2648 of 3140"
"Harrison County",18061,1.0,401,"2633 of 3140"
"Fountain County",18045,1.0,171,"2623 of 3140"
"Sullivan County",18153,1.0,218,"2611 of 3140"
"Jefferson County",18077,1.1,351,"2581 of 3140"
"Pulaski County",18131,1.1,140,"2571 of 3140"
"Parke County",18121,1.1,189,"2558 of 3140"
"Morgan County",18109,1.2,823,"2499 of 3140"
"Dearborn County",18029,1.2,602,"2466 of 3140"
"Scott County",18143,1.2,289,"2463 of 3140"
"Owen County",18119,1.2,260,"2442 of 3140"
"Knox County",18083,1.3,475,"2428 of 3140"
"Miami County",18103,1.3,472,"2386 of 3140"
"Tipton County",18159,1.3,201,"2381 of 3140"
"Jennings County",18079,1.3,369,"2375 of 3140"
"Spencer County",18147,1.4,283,"2338 of 3140"
"DeKalb County",18033,1.4,584,"2337 of 3140"
"Wabash County",18169,1.4,448,"2315 of 3140"
"Switzerland County",18155,1.4,150,"2309 of 3140"
"Gibson County",18051,1.5,490,"2279 of 3140"
"Huntington County",18069,1.5,536,"2271 of 3140"
"Lawrence County",18093,1.5,673,"2267 of 3140"
"Pike County",18125,1.5,187,"2249 of 3140"
"Grant County",18053,1.5,1027,"2230 of 3140"
"Wells County",18179,1.5,424,"2228 of 3140"
"Orange County",18117,1.5,300,"2226 of 3140"
"Ripley County",18137,1.5,434,"2225 of 3140"
"Blackford County",18009,1.6,199,"2157 of 3140"
"Decatur County",18031,1.7,440,"2132 of 3140"
"Randolph County",18135,1.7,419,"2130 of 3140"
"Jay County",18075,1.7,356,"2121 of 3140"
"Putnam County",18133,1.7,641,"2106 of 3140"
"LaGrange County",18087,1.8,690,"2042 of 3140"
"Brown County",18013,1.9,279,"2009 of 3140"
"Madison County",18095,1.9,2472,"1978 of 3140"
"Benton County",18007,1.9,169,"1956 of 3140"
"Starke County",18149,2.0,449,"1951 of 3140"
"Howard County",18067,2.0,1668,"1920 of 3140"
"Wayne County",18177,2.0,1366,"1914 of 3140"
"Hancock County",18059,2.1,1505,"1888 of 3140"
"Steuben County",18151,2.2,760,"1805 of 3140"
"Delaware County",18035,2.2,2569,"1799 of 3140"
"Floyd County",18043,2.2,1708,"1790 of 3140"
"Shelby County",18145,2.3,1021,"1745 of 3140"
"Daviess County",18027,2.4,777,"1724 of 3140"
"Jasper County",18073,2.6,878,"1609 of 3140"
"Carroll County",18015,2.7,540,"1566 of 3140"
"Fulton County",18049,2.8,571,"1511 of 3140"
"Montgomery County",18107,3.0,1130,"1446 of 3140"
"Warrick County",18173,3.0,1841,"1425 of 3140"
"Vanderburgh County",18163,3.0,5443,"1423 of 3140"
"Vigo County",18167,3.2,3496,"1338 of 3140"
"Clark County",18019,3.3,3741,"1330 of 3140"
"LaPorte County",18091,3.3,3654,"1318 of 3140"
"Newton County",18111,3.6,505,"1233 of 3140"
"Boone County",18011,3.6,2289,"1220 of 3140"
"Porter County",18127,3.8,6365,"1180 of 3140"
"Kosciusko County",18085,4.1,3219,"1090 of 3140"
"Marshall County",18099,4.2,1969,"1055 of 3140"
"Dubois County",18037,4.3,1834,"1033 of 3140"
"Johnson County",18081,4.4,6532,"1028 of 3140"
"Noble County",18113,4.5,2128,"1014 of 3140"
"White County",18181,4.6,1109,"993 of 3140"
"Hendricks County",18063,4.8,7579,"955 of 3140"
"Jackson County",18071,5.0,2173,"926 of 3140"
"St. Joseph County",18141,6.3,17055,"695 of 3140"
"Allen County",18003,6.4,23611,"684 of 3140"
"Lake County",18089,6.7,32927,"641 of 3140"
"Clinton County",18023,7.2,2352,"581 of 3140"
"Hamilton County",18057,7.6,23420,"550 of 3140"
"Elkhart County",18039,8.0,16236,"508 of 3140"
"Monroe County",18105,8.2,11886,"489 of 3140"
"Cass County",18017,9.1,3487,"412 of 3140"
"Marion County",18097,9.1,85949,"409 of 3140"
"Bartholomew County",18005,10.1,8147,"352 of 3140"
"Tippecanoe County",18157,11.3,21120,"273 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:59 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
