------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"South Dakota",46000,2.3,7895,"24 of 52"
"United States",00000,3.3,3975282,"N/A"
"Hand County",46059,0.0,0,"3097 of 3141"
"Jones County",46075,0.0,0,"3097 of 3141"
"McPherson County",46089,0.0,0,"3097 of 3141"
"Potter County",46107,0.0,0,"3097 of 3141"
"Sully County",46119,0.0,0,"3097 of 3141"
"Edmunds County",46045,0.3,4,"3065 of 3141"
"Day County",46037,0.3,7,"3061 of 3141"
"Clay County",46027,0.4,19,"3040 of 3141"
"Grant County",46051,0.4,12,"3038 of 3141"
"Harding County",46063,0.4,2,"3037 of 3141"
"Perkins County",46105,0.4,5,"3036 of 3141"
"Yankton County",46135,0.4,37,"3030 of 3141"
"Tripp County",46123,0.4,10,"3027 of 3141"
"Lake County",46079,0.4,20,"3026 of 3141"
"Sanborn County",46111,0.5,5,"3006 of 3141"
"Faulk County",46049,0.5,5,"2978 of 3141"
"Haakon County",46055,0.6,5,"2965 of 3141"
"Campbell County",46021,0.6,4,"2954 of 3141"
"Hanson County",46061,0.7,7,"2911 of 3141"
"Davison County",46035,0.7,64,"2860 of 3141"
"Turner County",46125,0.8,27,"2842 of 3141"
"Lawrence County",46081,0.9,99,"2700 of 3141"
"Brookings County",46011,0.9,118,"2674 of 3141"
"McCook County",46087,1.0,21,"2656 of 3141"
"Lincoln County",46083,1.0,181,"2651 of 3141"
"Union County",46127,1.0,62,"2626 of 3141"
"Fall River County",46047,1.1,33,"2552 of 3141"
"Aurora County",46003,1.1,13,"2504 of 3141"
"Spink County",46115,1.1,30,"2445 of 3141"
"Hutchinson County",46067,1.2,34,"2402 of 3141"
"Butte County",46019,1.2,50,"2376 of 3141"
"Bon Homme County",46009,1.3,33,"2267 of 3141"
"Brown County",46013,1.3,214,"2243 of 3141"
"Jerauld County",46073,1.3,12,"2230 of 3141"
"Kingsbury County",46077,1.4,32,"2169 of 3141"
"Clark County",46025,1.5,22,"2076 of 3141"
"Walworth County",46129,1.5,34,"2042 of 3141"
"Marshall County",46091,1.6,29,"1921 of 3141"
"Douglas County",46043,1.7,22,"1775 of 3141"
"Deuel County",46039,1.7,32,"1763 of 3141"
"Miner County",46097,1.8,18,"1686 of 3141"
"Custer County",46033,1.9,73,"1622 of 3141"
"Moody County",46101,1.9,51,"1579 of 3141"
"Gregory County",46053,2.0,38,"1542 of 3141"
"Stanley County",46117,2.0,26,"1515 of 3141"
"Hamlin County",46057,2.1,45,"1448 of 3141"
"Pennington County",46103,2.1,905,"1403 of 3141"
"Minnehaha County",46099,2.2,1644,"1268 of 3141"
"Codington County",46029,2.3,278,"1187 of 3141"
"Hughes County",46065,2.5,185,"1013 of 3141"
"Roberts County",46109,2.6,96,"980 of 3141"
"Hyde County",46069,2.6,15,"963 of 3141"
"Brule County",46015,2.6,56,"962 of 3141"
"Charles Mix County",46023,2.8,90,"813 of 3141"
"Meade County",46093,3.2,358,"617 of 3141"
"Beadle County",46005,6.8,517,"115 of 3141"
"Lyman County",46085,6.8,94,"114 of 3141"
"Mellette County",46095,8.8,60,"66 of 3141"
"Corson County",46031,9.8,122,"44 of 3141"
"Dewey County",46041,10.6,174,"34 of 3141"
"Bennett County",46007,11.9,114,"26 of 3141"
"Jackson County",46071,12.8,126,"20 of 3141"
"Ziebach County",46137,14.0,107,"15 of 3141"
"Buffalo County",46017,14.2,75,"12 of 3141"
"Todd County",46121,14.7,406,"10 of 3141"
"Shannon County",46113,31.4,918,"4 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
