------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"South Dakota",46000,3.7,17018,"2 of 52"
"United States",00000,6.6,10560305,"N/A"
"Jerauld County",46073,0.2,2,"12 of 3141"
"Faulk County",46049,0.3,3,"13 of 3141"
"Hanson County",46061,0.4,7,"17 of 3141"
"Sully County",46119,0.5,4,"19 of 3141"
"Gregory County",46053,0.8,17,"27 of 3141"
"Potter County",46107,0.9,10,"28 of 3141"
"Douglas County",46043,0.9,14,"32 of 3141"
"Campbell County",46021,1.0,8,"38 of 3141"
"Stanley County",46117,1.0,19,"39 of 3141"
"Bon Homme County",46009,1.2,34,"49 of 3141"
"Meade County",46093,1.3,189,"62 of 3141"
"Aurora County",46003,1.4,21,"66 of 3141"
"Day County",46037,1.5,42,"70 of 3141"
"Harding County",46063,1.5,10,"72 of 3141"
"Hand County",46059,1.5,26,"74 of 3141"
"Edmunds County",46045,1.6,33,"87 of 3141"
"Marshall County",46091,1.6,41,"91 of 3141"
"Hamlin County",46057,1.7,50,"99 of 3141"
"Tripp County",46123,1.8,52,"114 of 3141"
"Brown County",46013,1.8,380,"116 of 3141"
"Deuel County",46039,1.8,43,"122 of 3141"
"Kingsbury County",46077,1.8,50,"123 of 3141"
"Spink County",46115,1.9,62,"131 of 3141"
"Brule County",46015,2.0,55,"146 of 3141"
"Miner County",46097,2.0,23,"149 of 3141"
"Union County",46127,2.1,167,"153 of 3141"
"Beadle County",46005,2.1,192,"154 of 3141"
"Hughes County",46065,2.1,199,"155 of 3141"
"Lincoln County",46083,2.1,633,"159 of 3141"
"Turner County",46125,2.2,95,"163 of 3141"
"Haakon County",46055,2.2,20,"165 of 3141"
"Codington County",46029,2.5,393,"206 of 3141"
"McCook County",46087,2.5,74,"214 of 3141"
"Fall River County",46047,2.6,85,"227 of 3141"
"Yankton County",46135,2.8,325,"262 of 3141"
"Butte County",46019,2.8,147,"265 of 3141"
"Jones County",46075,2.9,13,"302 of 3141"
"Hyde County",46069,3.0,21,"311 of 3141"
"Sanborn County",46111,3.0,40,"314 of 3141"
"Lawrence County",46081,3.1,421,"344 of 3141"
"Grant County",46051,3.3,126,"385 of 3141"
"Brookings County",46011,3.3,651,"392 of 3141"
"Minnehaha County",46099,3.4,3608,"423 of 3141"
"Walworth County",46129,3.7,106,"532 of 3141"
"Perkins County",46105,3.8,61,"570 of 3141"
"Davison County",46035,3.9,425,"605 of 3141"
"Lake County",46079,3.9,266,"607 of 3141"
"Clark County",46025,4.0,74,"623 of 3141"
"Custer County",46033,4.0,167,"636 of 3141"
"Pennington County",46103,4.2,2371,"687 of 3141"
"Moody County",46101,4.9,170,"997 of 3141"
"Charles Mix County",46023,5.2,208,"1115 of 3141"
"Hutchinson County",46067,5.3,203,"1209 of 3141"
"Lyman County",46085,6.3,119,"1721 of 3141"
"Clay County",46027,6.4,524,"1761 of 3141"
"Mellette County",46095,6.6,48,"1873 of 3141"
"McPherson County",46089,6.7,75,"1929 of 3141"
"Roberts County",46109,7.0,346,"2058 of 3141"
"Jackson County",46071,12.0,150,"3012 of 3141"
"Bennett County",46007,13.5,189,"3056 of 3141"
"Todd County",46121,15.1,496,"3088 of 3141"
"Buffalo County",46017,17.0,122,"3115 of 3141"
"Shannon County",46113,22.7,945,"3135 of 3141"
"Dewey County",46041,25.9,682,"3137 of 3141"
"Ziebach County",46137,27.0,358,"3139 of 3141"
"Corson County",46031,28.7,508,"3140 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
