------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"South Dakota",46000,0.4,3450,"16 of 51"
"United States",00000,0.7,2074097,"N/A"
"Buffalo County",46017,0.0,0,"1 of 3140"
"Charles Mix County",46023,0.0,0,"1 of 3140"
"Clark County",46025,0.0,0,"1 of 3140"
"Haakon County",46055,0.0,0,"1 of 3140"
"Hand County",46059,0.0,0,"1 of 3140"
"Hanson County",46061,0.0,0,"1 of 3140"
"Harding County",46063,0.0,0,"1 of 3140"
"Hughes County",46065,0.0,0,"1 of 3140"
"Hyde County",46069,0.0,0,"1 of 3140"
"Jackson County",46071,0.0,0,"1 of 3140"
"Jones County",46075,0.0,0,"1 of 3140"
"Lyman County",46085,0.0,0,"1 of 3140"
"Miner County",46097,0.0,0,"1 of 3140"
"Potter County",46107,0.0,0,"1 of 3140"
"Sanborn County",46111,0.0,0,"1 of 3140"
"Shannon County",46113,0.0,0,"1 of 3140"
"Stanley County",46117,0.0,0,"1 of 3140"
"Ziebach County",46137,0.0,0,"1 of 3140"
"McCook County",46087,0.0,1,"411 of 3140"
"Hutchinson County",46067,0.0,2,"452 of 3140"
"Spink County",46115,0.0,2,"468 of 3140"
"Hamlin County",46057,0.0,2,"492 of 3140"
"Bon Homme County",46009,0.0,3,"542 of 3140"
"Fall River County",46047,0.0,3,"555 of 3140"
"Lincoln County",46083,0.1,33,"654 of 3140"
"Perkins County",46105,0.1,2,"702 of 3140"
"Grant County",46051,0.1,5,"720 of 3140"
"Davison County",46035,0.1,14,"728 of 3140"
"Roberts County",46109,0.1,8,"786 of 3140"
"Dewey County",46041,0.1,5,"857 of 3140"
"Kingsbury County",46077,0.1,5,"927 of 3140"
"Aurora County",46003,0.1,3,"992 of 3140"
"Brule County",46015,0.1,6,"1039 of 3140"
"Edmunds County",46045,0.1,5,"1121 of 3140"
"Faulk County",46049,0.2,4,"1441 of 3140"
"Bennett County",46007,0.2,6,"1442 of 3140"
"Codington County",46029,0.2,52,"1518 of 3140"
"Deuel County",46039,0.2,8,"1526 of 3140"
"Gregory County",46053,0.2,8,"1535 of 3140"
"Turner County",46125,0.2,16,"1557 of 3140"
"Day County",46037,0.2,11,"1579 of 3140"
"Lake County",46079,0.2,28,"1718 of 3140"
"Yankton County",46135,0.3,57,"1836 of 3140"
"Todd County",46121,0.3,26,"1885 of 3140"
"Campbell County",46021,0.3,4,"1940 of 3140"
"Butte County",46019,0.3,30,"2004 of 3140"
"Mellette County",46095,0.3,7,"2165 of 3140"
"Beadle County",46005,0.4,70,"2296 of 3140"
"McPherson County",46089,0.4,10,"2365 of 3140"
"Sully County",46119,0.4,6,"2389 of 3140"
"Corson County",46031,0.4,18,"2393 of 3140"
"Tripp County",46123,0.5,25,"2437 of 3140"
"Minnehaha County",46099,0.5,922,"2520 of 3140"
"Brown County",46013,0.5,206,"2579 of 3140"
"Meade County",46093,0.6,161,"2666 of 3140"
"Lawrence County",46081,0.6,150,"2669 of 3140"
"Pennington County",46103,0.6,646,"2670 of 3140"
"Marshall County",46091,0.6,30,"2722 of 3140"
"Union County",46127,0.7,97,"2733 of 3140"
"Clay County",46027,0.8,112,"2867 of 3140"
"Brookings County",46011,0.9,287,"2900 of 3140"
"Moody County",46101,1.0,64,"2959 of 3140"
"Jerauld County",46073,1.0,21,"2976 of 3140"
"Custer County",46033,1.1,93,"2993 of 3140"
"Douglas County",46043,1.9,56,"3094 of 3140"
"Walworth County",46129,2.2,120,"3109 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
