------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"South Dakota",46000,35.3,301813,"25 of 52"
"Shannon County",46113,19.8,2827,"3135 of 3141"
"Todd County",46121,20.5,2056,"3131 of 3141"
"Buffalo County",46017,21.1,432,"3128 of 3141"
"Clay County",46027,24.5,3408,"3107 of 3141"
"Brookings County",46011,25.4,8557,"3095 of 3141"
"Ziebach County",46137,25.8,732,"3079 of 3141"
"Dewey County",46041,26.2,1497,"3069 of 3141"
"Corson County",46031,27.5,1150,"3015 of 3141"
"Bennett County",46007,27.6,949,"3007 of 3141"
"Lincoln County",46083,27.7,14736,"3003 of 3141"
"Minnehaha County",46099,30.9,56724,"2815 of 3141"
"Jackson County",46071,32.2,1055,"2698 of 3141"
"Hanson County",46061,33.4,1136,"2585 of 3141"
"Meade County",46093,33.6,9094,"2554 of 3141"
"Hamlin County",46057,34.8,2055,"2393 of 3141"
"Lyman County",46085,35.1,1363,"2330 of 3141"
"Mellette County",46095,35.3,727,"2318 of 3141"
"Brown County",46013,35.9,13876,"2207 of 3141"
"Hughes County",46065,36.8,6459,"2071 of 3141"
"Pennington County",46103,36.8,39777,"2068 of 3141"
"Codington County",46029,36.8,10294,"2061 of 3141"
"Charles Mix County",46023,36.8,3434,"2053 of 3141"
"Beadle County",46005,36.9,6710,"2034 of 3141"
"Davison County",46035,37.6,7436,"1863 of 3141"
"Union County",46127,38.1,5688,"1762 of 3141"
"Roberts County",46109,38.5,3942,"1693 of 3141"
"Harding County",46063,38.6,494,"1676 of 3141"
"Stanley County",46117,39.1,1171,"1558 of 3141"
"McCook County",46087,39.3,2170,"1495 of 3141"
"Yankton County",46135,39.5,8959,"1447 of 3141"
"Moody County",46101,39.6,2573,"1428 of 3141"
"Brule County",46015,40.3,2126,"1276 of 3141"
"Butte County",46019,41.1,4186,"1089 of 3141"
"Aurora County",46003,41.1,1125,"1088 of 3141"
"Lawrence County",46081,41.4,10360,"1018 of 3141"
"Marshall County",46091,41.7,1983,"980 of 3141"
"Sully County",46119,42.1,585,"913 of 3141"
"Clark County",46025,42.2,1537,"893 of 3141"
"Turner County",46125,42.4,3493,"861 of 3141"
"Edmunds County",46045,42.9,1705,"768 of 3141"
"Bon Homme County",46009,43.0,2996,"764 of 3141"
"Lake County",46079,43.0,5316,"755 of 3141"
"Spink County",46115,43.2,2801,"726 of 3141"
"Miner County",46097,43.3,976,"719 of 3141"
"Grant County",46051,43.5,3106,"680 of 3141"
"Hutchinson County",46067,44.0,3200,"627 of 3141"
"Deuel County",46039,44.0,1884,"621 of 3141"
"Walworth County",46129,44.1,2424,"610 of 3141"
"Sanborn County",46111,45.4,1073,"484 of 3141"
"Tripp County",46123,45.7,2503,"445 of 3141"
"Gregory County",46053,45.9,1933,"421 of 3141"
"Kingsbury County",46077,46.2,2312,"396 of 3141"
"Hand County",46059,46.8,1545,"354 of 3141"
"Haakon County",46055,46.8,976,"347 of 3141"
"Perkins County",46105,47.0,1392,"340 of 3141"
"Douglas County",46043,47.0,1381,"339 of 3141"
"Jerauld County",46073,47.6,969,"298 of 3141"
"Day County",46037,48.7,2688,"233 of 3141"
"Faulk County",46049,48.7,1133,"232 of 3141"
"Hyde County",46069,50.1,688,"168 of 3141"
"McPherson County",46089,50.5,1195,"156 of 3141"
"Potter County",46107,52.2,1210,"110 of 3141"
"Fall River County",46047,52.2,3544,"103 of 3141"
"Campbell County",46021,54.3,783,"56 of 3141"
"Custer County",46033,56.2,4787,"35 of 3141"
"Jones County",46075,56.4,417,"34 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
