------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"South Dakota",46000,8.7,74062,"3 of 52"
"Hand County",46059,0.0,0,"2960 of 3141"
"Jones County",46075,0.0,0,"2960 of 3141"
"Lake County",46079,0.0,4,"2882 of 3141"
"Deuel County",46039,0.1,3,"2742 of 3141"
"Miner County",46097,0.4,8,"1507 of 3141"
"Edmunds County",46045,0.4,17,"1310 of 3141"
"Jerauld County",46073,0.4,9,"1272 of 3141"
"Lincoln County",46083,0.5,259,"1182 of 3141"
"Kingsbury County",46077,0.5,26,"1124 of 3141"
"Turner County",46125,0.6,51,"994 of 3141"
"Sanborn County",46111,0.7,16,"923 of 3141"
"Hamlin County",46057,0.7,44,"848 of 3141"
"Union County",46127,0.8,126,"766 of 3141"
"McCook County",46087,0.9,47,"759 of 3141"
"Campbell County",46021,1.0,15,"646 of 3141"
"Brookings County",46011,1.1,359,"623 of 3141"
"Hanson County",46061,1.1,38,"592 of 3141"
"Beadle County",46005,1.4,262,"485 of 3141"
"Butte County",46019,1.8,179,"421 of 3141"
"Sully County",46119,1.8,25,"418 of 3141"
"Codington County",46029,1.8,504,"417 of 3141"
"Spink County",46115,1.9,124,"399 of 3141"
"Hutchinson County",46067,2.1,152,"373 of 3141"
"Harding County",46063,2.3,29,"356 of 3141"
"Potter County",46107,2.3,54,"347 of 3141"
"Yankton County",46135,2.3,532,"345 of 3141"
"Lawrence County",46081,2.4,591,"339 of 3141"
"Minnehaha County",46099,2.4,4436,"330 of 3141"
"Clark County",46025,2.6,93,"320 of 3141"
"Meade County",46093,2.6,700,"315 of 3141"
"Douglas County",46043,2.7,80,"305 of 3141"
"Perkins County",46105,2.8,83,"299 of 3141"
"Clay County",46027,2.9,400,"294 of 3141"
"Davison County",46035,3.1,605,"288 of 3141"
"Aurora County",46003,3.1,85,"285 of 3141"
"Brown County",46013,3.4,1313,"267 of 3141"
"Grant County",46051,3.4,245,"264 of 3141"
"Custer County",46033,3.8,321,"243 of 3141"
"Faulk County",46049,4.9,115,"206 of 3141"
"Bon Homme County",46009,5.3,370,"194 of 3141"
"Fall River County",46047,5.6,380,"186 of 3141"
"McPherson County",46089,6.6,157,"172 of 3141"
"Gregory County",46053,7.2,304,"162 of 3141"
"Marshall County",46091,7.4,353,"156 of 3141"
"Haakon County",46055,7.7,160,"148 of 3141"
"Pennington County",46103,8.9,9653,"131 of 3141"
"Stanley County",46117,9.2,274,"128 of 3141"
"Hyde County",46069,9.5,130,"126 of 3141"
"Day County",46037,10.3,570,"119 of 3141"
"Brule County",46015,10.4,551,"118 of 3141"
"Hughes County",46065,11.2,1965,"112 of 3141"
"Moody County",46101,11.3,734,"108 of 3141"
"Walworth County",46129,12.3,676,"99 of 3141"
"Tripp County",46123,13.6,747,"88 of 3141"
"Charles Mix County",46023,31.9,2971,"43 of 3141"
"Roberts County",46109,37.0,3797,"39 of 3141"
"Lyman County",46085,40.4,1569,"35 of 3141"
"Bennett County",46007,48.8,1679,"28 of 3141"
"Jackson County",46071,52.4,1715,"25 of 3141"
"Mellette County",46095,57.8,1191,"21 of 3141"
"Corson County",46031,67.7,2828,"17 of 3141"
"Ziebach County",46137,74.6,2117,"12 of 3141"
"Dewey County",46041,77.7,4437,"10 of 3141"
"Todd County",46121,77.9,7805,"9 of 3141"
"Buffalo County",46017,83.6,1713,"5 of 3141"
"Shannon County",46113,92.8,13266,"1 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
