------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"South Dakota",46000,8.2,68978,"21 of 51"
"United States",00000,8.4,26717038,"N/A"
"Hanson County",46061,0.6,21,"13 of 3140"
"Campbell County",46021,0.6,9,"14 of 3140"
"Jones County",46075,0.7,5,"17 of 3140"
"Ziebach County",46137,0.9,25,"21 of 3140"
"Stanley County",46117,1.0,29,"27 of 3140"
"Corson County",46031,1.8,73,"79 of 3140"
"Edmunds County",46045,1.9,74,"88 of 3140"
"Potter County",46107,1.9,44,"93 of 3140"
"Shannon County",46113,2.0,278,"99 of 3140"
"Perkins County",46105,2.3,68,"135 of 3140"
"Buffalo County",46017,2.6,52,"173 of 3140"
"Dewey County",46041,2.6,148,"180 of 3140"
"Harding County",46063,2.8,35,"202 of 3140"
"Hutchinson County",46067,2.8,199,"203 of 3140"
"Kingsbury County",46077,2.8,141,"220 of 3140"
"Lyman County",46085,2.9,110,"228 of 3140"
"Mellette County",46095,3.0,60,"251 of 3140"
"Sanborn County",46111,3.0,69,"252 of 3140"
"Deuel County",46039,3.2,136,"309 of 3140"
"Miner County",46097,3.3,72,"313 of 3140"
"Douglas County",46043,3.7,107,"426 of 3140"
"McPherson County",46089,3.7,87,"434 of 3140"
"Turner County",46125,3.8,309,"463 of 3140"
"Bennett County",46007,3.8,130,"473 of 3140"
"Hyde County",46069,3.9,52,"485 of 3140"
"Hand County",46059,3.9,126,"490 of 3140"
"Aurora County",46003,3.9,106,"499 of 3140"
"Jackson County",46071,3.9,126,"512 of 3140"
"Meade County",46093,4.0,1069,"530 of 3140"
"Lincoln County",46083,4.1,2137,"561 of 3140"
"Clark County",46025,4.1,148,"568 of 3140"
"Faulk County",46049,4.2,96,"600 of 3140"
"Bon Homme County",46009,4.3,294,"602 of 3140"
"Union County",46127,4.3,636,"623 of 3140"
"Custer County",46033,4.7,399,"790 of 3140"
"Gregory County",46053,4.7,197,"799 of 3140"
"Brule County",46015,4.9,252,"860 of 3140"
"Tripp County",46123,5.0,270,"903 of 3140"
"Todd County",46121,5.0,490,"917 of 3140"
"McCook County",46087,5.1,276,"962 of 3140"
"Sully County",46119,5.1,70,"972 of 3140"
"Moody County",46101,5.1,329,"986 of 3140"
"Haakon County",46055,5.3,109,"1063 of 3140"
"Charles Mix County",46023,5.3,490,"1085 of 3140"
"Hamlin County",46057,5.4,314,"1120 of 3140"
"Spink County",46115,5.8,376,"1334 of 3140"
"Marshall County",46091,5.9,274,"1384 of 3140"
"Fall River County",46047,6.0,400,"1430 of 3140"
"Day County",46037,6.2,342,"1550 of 3140"
"Grant County",46051,7.2,505,"1940 of 3140"
"Roberts County",46109,8.0,809,"2267 of 3140"
"Hughes County",46065,8.1,1410,"2313 of 3140"
"Jerauld County",46073,8.3,167,"2373 of 3140"
"Lawrence County",46081,8.9,2200,"2518 of 3140"
"Yankton County",46135,8.9,1986,"2522 of 3140"
"Butte County",46019,9.3,941,"2635 of 3140"
"Pennington County",46103,9.7,10384,"2728 of 3140"
"Beadle County",46005,9.9,1779,"2770 of 3140"
"Davison County",46035,10.1,1973,"2807 of 3140"
"Brown County",46013,10.3,3945,"2840 of 3140"
"Walworth County",46129,10.3,561,"2844 of 3140"
"Lake County",46079,10.6,1301,"2888 of 3140"
"Brookings County",46011,10.8,3601,"2911 of 3140"
"Minnehaha County",46099,11.2,20266,"2960 of 3140"
"Codington County",46029,11.2,3085,"2961 of 3140"
"Clay County",46027,17.6,2406,"3140 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
