------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"South Dakota",46000,3.3,28358,"48 of 51"
"United States",00000,13.4,43028127,"N/A"
"Buffalo County",46017,0.0,0,"3128 of 3140"
"Haakon County",46055,0.0,0,"3128 of 3140"
"Sully County",46119,0.0,0,"3128 of 3140"
"Faulk County",46049,0.1,2,"3121 of 3140"
"Hanson County",46061,0.1,3,"3120 of 3140"
"Hand County",46059,0.2,5,"3109 of 3140"
"Shannon County",46113,0.3,36,"3088 of 3140"
"Campbell County",46021,0.3,4,"3077 of 3140"
"Dewey County",46041,0.3,16,"3075 of 3140"
"Corson County",46031,0.4,15,"3051 of 3140"
"Day County",46037,0.4,23,"3033 of 3140"
"Charles Mix County",46023,0.4,40,"3030 of 3140"
"Bennett County",46007,0.5,18,"2982 of 3140"
"Stanley County",46117,0.5,16,"2974 of 3140"
"Spink County",46115,0.6,37,"2951 of 3140"
"Turner County",46125,0.6,48,"2947 of 3140"
"Roberts County",46109,0.6,65,"2913 of 3140"
"Jackson County",46071,0.6,21,"2909 of 3140"
"Lyman County",46085,0.6,25,"2905 of 3140"
"Mellette County",46095,0.7,14,"2878 of 3140"
"McPherson County",46089,0.7,17,"2845 of 3140"
"Jones County",46075,0.8,6,"2782 of 3140"
"Butte County",46019,0.8,84,"2772 of 3140"
"Perkins County",46105,0.9,27,"2712 of 3140"
"Hyde County",46069,0.9,13,"2687 of 3140"
"Lake County",46079,1.0,120,"2671 of 3140"
"Edmunds County",46045,1.1,43,"2583 of 3140"
"Deuel County",46039,1.1,47,"2569 of 3140"
"Brule County",46015,1.1,58,"2568 of 3140"
"Tripp County",46123,1.1,62,"2547 of 3140"
"Hutchinson County",46067,1.1,83,"2543 of 3140"
"Hughes County",46065,1.2,205,"2521 of 3140"
"Sanborn County",46111,1.2,28,"2500 of 3140"
"Clark County",46025,1.2,44,"2473 of 3140"
"Gregory County",46053,1.3,56,"2372 of 3140"
"Ziebach County",46137,1.3,38,"2365 of 3140"
"Codington County",46029,1.4,403,"2294 of 3140"
"Todd County",46121,1.6,156,"2203 of 3140"
"Davison County",46035,1.9,368,"2001 of 3140"
"Bon Homme County",46009,2.0,136,"1953 of 3140"
"Harding County",46063,2.0,26,"1918 of 3140"
"Douglas County",46043,2.1,61,"1882 of 3140"
"Meade County",46093,2.1,564,"1877 of 3140"
"Kingsbury County",46077,2.1,105,"1865 of 3140"
"Union County",46127,2.1,319,"1845 of 3140"
"Yankton County",46135,2.2,493,"1822 of 3140"
"McCook County",46087,2.2,120,"1821 of 3140"
"Miner County",46097,2.2,50,"1797 of 3140"
"Fall River County",46047,2.2,152,"1786 of 3140"
"Lincoln County",46083,2.4,1278,"1712 of 3140"
"Lawrence County",46081,2.4,612,"1701 of 3140"
"Pennington County",46103,2.5,2650,"1696 of 3140"
"Hamlin County",46057,2.5,148,"1668 of 3140"
"Grant County",46051,2.6,186,"1618 of 3140"
"Potter County",46107,2.7,62,"1583 of 3140"
"Custer County",46033,3.1,260,"1397 of 3140"
"Jerauld County",46073,3.2,65,"1351 of 3140"
"Brown County",46013,3.4,1316,"1289 of 3140"
"Moody County",46101,3.4,222,"1284 of 3140"
"Clay County",46027,3.5,484,"1263 of 3140"
"Walworth County",46129,3.6,198,"1231 of 3140"
"Aurora County",46003,4.0,109,"1124 of 3140"
"Brookings County",46011,5.8,1954,"774 of 3140"
"Marshall County",46091,6.4,303,"691 of 3140"
"Minnehaha County",46099,6.5,11966,"670 of 3140"
"Beadle County",46005,12.5,2273,"237 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
