------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"South Dakota",46000,83.7,706053,"39 of 51"
"United States",00000,85.4,270854872,"N/A"
"Clay County",46027,64.5,8838,"3136 of 3140"
"Brookings County",46011,74.7,24840,"3091 of 3140"
"Lake County",46079,79.7,9735,"2955 of 3140"
"Lawrence County",46081,79.9,19854,"2942 of 3140"
"Walworth County",46129,80.9,4394,"2859 of 3140"
"Davison County",46035,81.4,15868,"2815 of 3140"
"Pennington County",46103,81.6,87161,"2801 of 3140"
"Meade County",46093,81.9,21916,"2766 of 3140"
"Faulk County",46049,82.0,1855,"2758 of 3140"
"Minnehaha County",46099,82.1,148537,"2748 of 3140"
"Brown County",46013,82.1,31410,"2736 of 3140"
"Hughes County",46065,82.4,14265,"2709 of 3140"
"Bon Homme County",46009,83.0,5739,"2621 of 3140"
"Codington County",46029,83.0,22835,"2617 of 3140"
"Yankton County",46135,83.4,18666,"2554 of 3140"
"McPherson County",46089,83.7,1963,"2490 of 3140"
"Butte County",46019,84.1,8497,"2431 of 3140"
"Custer County",46033,84.1,7107,"2409 of 3140"
"McCook County",46087,84.3,4575,"2377 of 3140"
"Lincoln County",46083,85.1,44480,"2182 of 3140"
"Beadle County",46005,85.6,15336,"2070 of 3140"
"Hamlin County",46057,85.8,4982,"2012 of 3140"
"Day County",46037,85.8,4706,"2003 of 3140"
"Union County",46127,86.0,12725,"1931 of 3140"
"Roberts County",46109,86.2,8729,"1871 of 3140"
"Clark County",46025,86.6,3109,"1751 of 3140"
"Marshall County",46091,86.6,4015,"1736 of 3140"
"Spink County",46115,86.7,5588,"1707 of 3140"
"Fall River County",46047,87.0,5805,"1616 of 3140"
"Moody County",46101,87.2,5580,"1548 of 3140"
"Turner County",46125,87.8,7148,"1324 of 3140"
"Jerauld County",46073,87.9,1759,"1302 of 3140"
"Tripp County",46123,88.0,4774,"1265 of 3140"
"Douglas County",46043,88.7,2583,"1023 of 3140"
"Gregory County",46053,88.8,3688,"1009 of 3140"
"Kingsbury County",46077,89.2,4415,"870 of 3140"
"Brule County",46015,89.2,4607,"847 of 3140"
"Hutchinson County",46067,89.4,6397,"790 of 3140"
"Grant County",46051,89.6,6313,"740 of 3140"
"Perkins County",46105,89.7,2629,"711 of 3140"
"Jackson County",46071,89.8,2872,"705 of 3140"
"Miner County",46097,89.9,1983,"661 of 3140"
"Bennett County",46007,89.9,3050,"656 of 3140"
"Charles Mix County",46023,90.0,8260,"624 of 3140"
"Hyde County",46069,90.3,1215,"561 of 3140"
"Harding County",46063,90.7,1143,"474 of 3140"
"Deuel County",46039,90.9,3814,"426 of 3140"
"Sully County",46119,90.9,1246,"417 of 3140"
"Haakon County",46055,91.0,1874,"413 of 3140"
"Aurora County",46003,91.1,2475,"401 of 3140"
"Todd County",46121,91.4,8954,"348 of 3140"
"Hand County",46059,92.2,3001,"215 of 3140"
"Sanborn County",46111,92.3,2152,"205 of 3140"
"Lyman County",46085,92.3,3523,"201 of 3140"
"Mellette County",46095,93.1,1889,"130 of 3140"
"Hanson County",46061,93.3,3140,"121 of 3140"
"Stanley County",46117,93.6,2771,"101 of 3140"
"Edmunds County",46045,94.1,3725,"71 of 3140"
"Jones County",46075,94.6,700,"50 of 3140"
"Shannon County",46113,95.1,13314,"36 of 3140"
"Campbell County",46021,95.5,1364,"27 of 3140"
"Dewey County",46041,95.5,5350,"26 of 3140"
"Buffalo County",46017,96.1,1932,"18 of 3140"
"Potter County",46107,96.6,2217,"12 of 3140"
"Corson County",46031,96.6,3955,"11 of 3140"
"Ziebach County",46137,97.3,2711,"4 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
