------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"South Dakota",46000,20.4,27217,"40 of 51"
"Davison County",46035,16.0,464,"1374 of 3139"
"Shannon County",46113,16.5,1236,"1433 of 3139"
"Todd County",46121,16.6,870,"1442 of 3139"
"Codington County",46029,17.1,607,"1501 of 3139"
"Yankton County",46135,17.6,510,"1590 of 3139"
"Minnehaha County",46099,18.4,4598,"1714 of 3139"
"Butte County",46019,18.5,337,"1728 of 3139"
"Buffalo County",46017,18.6,177,"1744 of 3139"
"Lake County",46079,18.9,251,"1786 of 3139"
"Hughes County",46065,19.2,400,"1823 of 3139"
"Lincoln County",46083,19.2,663,"1823 of 3139"
"Clay County",46027,19.4,555,"1859 of 3139"
"Bennett County",46007,19.5,258,"1882 of 3139"
"Pennington County",46103,19.6,3366,"1895 of 3139"
"Fall River County",46047,19.8,187,"1928 of 3139"
"Lawrence County",46081,20.0,660,"1963 of 3139"
"Meade County",46093,20.2,758,"1997 of 3139"
"Dewey County",46041,20.3,409,"2007 of 3139"
"Turner County",46125,20.7,211,"2073 of 3139"
"Charles Mix County",46023,21.0,476,"2115 of 3139"
"Bon Homme County",46009,21.4,160,"2158 of 3139"
"Kingsbury County",46077,21.6,128,"2182 of 3139"
"Brookings County",46011,21.8,1151,"2202 of 3139"
"Miner County",46097,21.8,64,"2202 of 3139"
"McCook County",46087,21.9,149,"2217 of 3139"
"Corson County",46031,22.0,428,"2232 of 3139"
"Spink County",46115,22.3,175,"2268 of 3139"
"Beadle County",46005,22.7,812,"2322 of 3139"
"Harding County",46063,22.8,38,"2337 of 3139"
"Gregory County",46053,22.9,174,"2348 of 3139"
"Deuel County",46039,23.0,112,"2360 of 3139"
"Brown County",46013,23.2,1178,"2384 of 3139"
"Hamlin County",46057,23.4,184,"2406 of 3139"
"Lyman County",46085,23.4,236,"2406 of 3139"
"Faulk County",46049,23.8,69,"2449 of 3139"
"Stanley County",46117,23.8,66,"2449 of 3139"
"Hutchinson County",46067,24.0,221,"2465 of 3139"
"Union County",46127,24.0,266,"2465 of 3139"
"Sanborn County",46111,24.1,96,"2476 of 3139"
"Ziebach County",46137,24.5,287,"2514 of 3139"
"Custer County",46033,24.6,245,"2527 of 3139"
"Walworth County",46129,24.6,190,"2527 of 3139"
"Day County",46037,24.9,215,"2552 of 3139"
"Grant County",46051,24.9,195,"2552 of 3139"
"Brule County",46015,25.0,228,"2556 of 3139"
"Hanson County",46061,25.0,99,"2556 of 3139"
"Potter County",46107,25.1,54,"2571 of 3139"
"Tripp County",46123,25.1,272,"2571 of 3139"
"Roberts County",46109,25.2,574,"2579 of 3139"
"Jones County",46075,25.3,40,"2589 of 3139"
"Mellette County",46095,25.4,192,"2596 of 3139"
"Douglas County",46043,26.5,103,"2675 of 3139"
"Haakon County",46055,26.8,82,"2699 of 3139"
"Jackson County",46071,26.8,340,"2699 of 3139"
"Hand County",46059,27.0,104,"2719 of 3139"
"Edmunds County",46045,27.1,106,"2730 of 3139"
"McPherson County",46089,27.1,84,"2730 of 3139"
"Perkins County",46105,27.1,133,"2730 of 3139"
"Hyde County",46069,27.3,45,"2751 of 3139"
"Campbell County",46021,29.1,43,"2846 of 3139"
"Clark County",46025,29.2,148,"2851 of 3139"
"Jerauld County",46073,29.5,79,"2870 of 3139"
"Sully County",46119,30.0,36,"2897 of 3139"
"Moody County",46101,30.2,272,"2910 of 3139"
"Aurora County",46003,31.2,122,"2950 of 3139"
"Marshall County",46091,37.0,229,"3092 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
