------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"South Dakota",46000,1.7,14698,"45 of 52"
"United States",00000,12.7,40610815,"N/A"
"Brule County",46015,0.0,0,"3052 of 3141"
"Campbell County",46021,0.0,0,"3052 of 3141"
"Clark County",46025,0.0,0,"3052 of 3141"
"Day County",46037,0.0,0,"3052 of 3141"
"Deuel County",46039,0.0,0,"3052 of 3141"
"Douglas County",46043,0.0,0,"3052 of 3141"
"Grant County",46051,0.0,0,"3052 of 3141"
"Gregory County",46053,0.0,0,"3052 of 3141"
"Hyde County",46069,0.0,0,"3052 of 3141"
"Jerauld County",46073,0.0,0,"3052 of 3141"
"Jones County",46075,0.0,0,"3052 of 3141"
"Kingsbury County",46077,0.0,0,"3052 of 3141"
"Mellette County",46095,0.0,0,"3052 of 3141"
"Potter County",46107,0.0,0,"3052 of 3141"
"Sanborn County",46111,0.0,0,"3052 of 3141"
"Stanley County",46117,0.0,0,"3052 of 3141"
"Sully County",46119,0.0,0,"3052 of 3141"
"Tripp County",46123,0.0,0,"3052 of 3141"
"Hand County",46059,0.0,1,"3038 of 3141"
"Ziebach County",46137,0.0,1,"3032 of 3141"
"Faulk County",46049,0.0,1,"3025 of 3141"
"Haakon County",46055,0.0,1,"3021 of 3141"
"Edmunds County",46045,0.1,2,"3018 of 3141"
"Lyman County",46085,0.1,2,"3016 of 3141"
"Charles Mix County",46023,0.1,5,"3009 of 3141"
"Shannon County",46113,0.1,14,"2966 of 3141"
"Perkins County",46105,0.1,3,"2963 of 3141"
"Dewey County",46041,0.1,7,"2941 of 3141"
"Spink County",46115,0.1,8,"2940 of 3141"
"McPherson County",46089,0.1,3,"2935 of 3141"
"Hamlin County",46057,0.2,10,"2890 of 3141"
"Custer County",46033,0.2,17,"2860 of 3141"
"Jackson County",46071,0.2,7,"2848 of 3141"
"Bennett County",46007,0.2,8,"2828 of 3141"
"Todd County",46121,0.3,32,"2731 of 3141"
"Turner County",46125,0.4,30,"2688 of 3141"
"Buffalo County",46017,0.4,8,"2663 of 3141"
"Beadle County",46005,0.4,72,"2654 of 3141"
"Hutchinson County",46067,0.4,32,"2606 of 3141"
"Corson County",46031,0.5,19,"2588 of 3141"
"Walworth County",46129,0.5,26,"2559 of 3141"
"Roberts County",46109,0.5,49,"2555 of 3141"
"Marshall County",46091,0.5,23,"2545 of 3141"
"Hughes County",46065,0.5,86,"2533 of 3141"
"Codington County",46029,0.5,141,"2522 of 3141"
"Moody County",46101,0.6,38,"2427 of 3141"
"Davison County",46035,0.6,118,"2409 of 3141"
"Butte County",46019,0.6,64,"2374 of 3141"
"Lake County",46079,0.7,81,"2344 of 3141"
"Fall River County",46047,0.7,47,"2292 of 3141"
"Union County",46127,0.7,105,"2279 of 3141"
"McCook County",46087,0.8,45,"2183 of 3141"
"Lawrence County",46081,1.0,239,"2067 of 3141"
"Miner County",46097,1.0,23,"2025 of 3141"
"Lincoln County",46083,1.1,562,"2005 of 3141"
"Pennington County",46103,1.2,1282,"1948 of 3141"
"Harding County",46063,1.3,17,"1887 of 3141"
"Bon Homme County",46009,1.3,94,"1870 of 3141"
"Brookings County",46011,1.6,533,"1760 of 3141"
"Clay County",46027,1.6,221,"1758 of 3141"
"Brown County",46013,1.6,629,"1746 of 3141"
"Aurora County",46003,1.6,45,"1738 of 3141"
"Yankton County",46135,1.9,424,"1664 of 3141"
"Meade County",46093,1.9,521,"1649 of 3141"
"Hanson County",46061,4.6,157,"1182 of 3141"
"Minnehaha County",46099,4.8,8845,"1166 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
