------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '46', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=46&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Dakota by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"South Dakota",46000,3.4,28592,"36 of 51"
"Buffalo County",46017,0.1,3,"31 of 3140"
"Stanley County",46117,0.2,6,"46 of 3140"
"Ziebach County",46137,0.3,7,"62 of 3140"
"Hyde County",46069,0.3,4,"80 of 3140"
"Potter County",46107,0.3,7,"85 of 3140"
"Dewey County",46041,0.4,20,"106 of 3140"
"Corson County",46031,0.6,23,"221 of 3140"
"Mellette County",46095,0.7,15,"363 of 3140"
"Campbell County",46021,0.8,11,"393 of 3140"
"Edmunds County",46045,0.9,34,"480 of 3140"
"Sully County",46119,0.9,12,"502 of 3140"
"Douglas County",46043,0.9,27,"563 of 3140"
"Aurora County",46003,1.1,29,"721 of 3140"
"Bennett County",46007,1.2,41,"910 of 3140"
"Kingsbury County",46077,1.3,63,"977 of 3140"
"Todd County",46121,1.3,126,"998 of 3140"
"Butte County",46019,1.4,141,"1129 of 3140"
"Jerauld County",46073,1.4,28,"1136 of 3140"
"Hand County",46059,1.4,46,"1155 of 3140"
"Moody County",46101,1.5,93,"1199 of 3140"
"Shannon County",46113,1.6,220,"1336 of 3140"
"Sanborn County",46111,1.6,38,"1406 of 3140"
"Clark County",46025,1.6,59,"1423 of 3140"
"Grant County",46051,1.6,116,"1430 of 3140"
"Codington County",46029,1.7,454,"1435 of 3140"
"Brule County",46015,1.8,92,"1581 of 3140"
"Charles Mix County",46023,1.8,168,"1628 of 3140"
"Hutchinson County",46067,1.8,132,"1646 of 3140"
"Lyman County",46085,1.9,72,"1681 of 3140"
"Turner County",46125,1.9,157,"1717 of 3140"
"Beadle County",46005,2.0,367,"1826 of 3140"
"Harding County",46063,2.1,26,"1846 of 3140"
"Marshall County",46091,2.1,97,"1866 of 3140"
"Haakon County",46055,2.2,46,"1984 of 3140"
"Hamlin County",46057,2.3,134,"2031 of 3140"
"Roberts County",46109,2.4,242,"2091 of 3140"
"Hanson County",46061,2.6,87,"2218 of 3140"
"Faulk County",46049,2.7,60,"2249 of 3140"
"Day County",46037,2.7,146,"2260 of 3140"
"McCook County",46087,2.8,154,"2359 of 3140"
"Minnehaha County",46099,2.8,5157,"2367 of 3140"
"Walworth County",46129,2.9,156,"2383 of 3140"
"Davison County",46035,2.9,570,"2410 of 3140"
"Deuel County",46039,2.9,123,"2417 of 3140"
"Bon Homme County",46009,3.0,209,"2463 of 3140"
"Jackson County",46071,3.1,98,"2477 of 3140"
"Spink County",46115,3.4,217,"2617 of 3140"
"Gregory County",46053,3.4,141,"2627 of 3140"
"Hughes County",46065,3.6,630,"2709 of 3140"
"Yankton County",46135,3.6,816,"2712 of 3140"
"Custer County",46033,3.8,325,"2760 of 3140"
"Tripp County",46123,3.9,212,"2774 of 3140"
"Brown County",46013,4.0,1521,"2789 of 3140"
"Lincoln County",46083,4.2,2179,"2836 of 3140"
"Lake County",46079,4.2,519,"2850 of 3140"
"Miner County",46097,4.4,96,"2868 of 3140"
"Pennington County",46103,4.4,4707,"2885 of 3140"
"Jones County",46075,4.7,35,"2940 of 3140"
"Lawrence County",46081,5.1,1276,"2982 of 3140"
"Perkins County",46105,5.3,155,"3000 of 3140"
"McPherson County",46089,5.4,127,"3011 of 3140"
"Meade County",46093,5.4,1449,"3012 of 3140"
"Fall River County",46047,5.8,384,"3032 of 3140"
"Union County",46127,5.9,866,"3039 of 3140"
"Brookings County",46011,5.9,1963,"3043 of 3140"
"Clay County",46027,7.7,1058,"3108 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
"South Dakota County Name Change: please note that Shannon County, SD (FIPS code=46113) was renamed effective May 1, 2015, and the new name is Oglala Lakota County (FIPS Code=46102). Due to the nature of data submissions, we will use the older code/name this year and transition to the new code/name with a future data release."

Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
