------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Utah",49000,8.3,248158,"22 of 51"
"United States",00000,13.4,43028127,"N/A"
"Piute County",49031,0.8,14,"2823 of 3140"
"Rich County",49033,1.0,22,"2682 of 3140"
"San Juan County",49037,1.4,218,"2298 of 3140"
"Emery County",49015,1.7,176,"2116 of 3140"
"Sevier County",49041,2.0,424,"1921 of 3140"
"Juab County",49023,2.0,219,"1907 of 3140"
"Morgan County",49029,2.4,264,"1718 of 3140"
"Uintah County",49047,2.4,890,"1699 of 3140"
"Kane County",49025,2.5,184,"1656 of 3140"
"Carbon County",49007,2.8,581,"1499 of 3140"
"Daggett County",49009,2.8,20,"1491 of 3140"
"Garfield County",49017,3.2,163,"1336 of 3140"
"Box Elder County",49003,3.3,1708,"1324 of 3140"
"Duchesne County",49013,3.3,665,"1323 of 3140"
"Iron County",49021,3.5,1690,"1261 of 3140"
"Tooele County",49045,4.0,2545,"1111 of 3140"
"Wayne County",49055,4.1,111,"1084 of 3140"
"Sanpete County",49039,4.3,1241,"1040 of 3140"
"Davis County",49011,4.7,15611,"975 of 3140"
"Grand County",49019,5.2,495,"889 of 3140"
"Beaver County",49001,5.4,347,"848 of 3140"
"Washington County",49053,5.8,9043,"771 of 3140"
"Cache County",49005,6.8,8182,"635 of 3140"
"Weber County",49057,6.9,16947,"615 of 3140"
"Utah County",49049,7.2,41704,"583 of 3140"
"Wasatch County",49051,7.7,2257,"533 of 3140"
"Millard County",49027,8.4,1063,"471 of 3140"
"Summit County",49043,10.0,3991,"353 of 3140"
"Salt Lake County",49035,12.4,137383,"242 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
