------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Utah",49000,10.3,307095,"51 of 52"
"United States",00000,14.9,47732389,"N/A"
"Utah County",49049,7.2,41777,"3131 of 3141"
"Tooele County",49045,8.6,5434,"3110 of 3141"
"Cache County",49005,8.7,10449,"3105 of 3141"
"Uintah County",49047,9.3,3378,"3092 of 3141"
"Davis County",49011,9.4,31376,"3091 of 3141"
"Wasatch County",49051,9.8,2883,"3070 of 3141"
"Salt Lake County",49035,10.0,110372,"3066 of 3141"
"Summit County",49043,10.6,4202,"3036 of 3141"
"Duchesne County",49013,10.7,2159,"3029 of 3141"
"Morgan County",49029,11.1,1224,"2993 of 3141"
"Weber County",49057,11.1,27193,"2989 of 3141"
"Juab County",49023,11.5,1232,"2949 of 3141"
"Iron County",49021,11.9,5748,"2912 of 3141"
"Box Elder County",49003,12.2,6391,"2867 of 3141"
"San Juan County",49037,12.8,1938,"2797 of 3141"
"Sanpete County",49039,13.0,3750,"2756 of 3141"
"Beaver County",49001,13.8,886,"2634 of 3141"
"Emery County",49015,15.2,1582,"2327 of 3141"
"Sevier County",49041,15.6,3262,"2234 of 3141"
"Carbon County",49007,15.7,3214,"2196 of 3141"
"Millard County",49027,15.9,2016,"2122 of 3141"
"Grand County",49019,16.5,1572,"1951 of 3141"
"Rich County",49033,16.9,391,"1791 of 3141"
"Daggett County",49009,17.0,119,"1788 of 3141"
"Wayne County",49055,19.0,514,"1123 of 3141"
"Garfield County",49017,19.9,997,"905 of 3141"
"Washington County",49053,19.9,30973,"892 of 3141"
"Kane County",49025,21.9,1587,"503 of 3141"
"Piute County",49031,25.6,476,"185 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
