------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Utah",49000,9.9,290569,"45 of 51"
"Piute County",49031,0.8,15,"20 of 3140"
"Daggett County",49009,2.0,14,"101 of 3140"
"Juab County",49023,2.8,295,"208 of 3140"
"San Juan County",49037,2.9,434,"230 of 3140"
"Garfield County",49017,2.9,145,"239 of 3140"
"Wayne County",49055,3.6,97,"413 of 3140"
"Morgan County",49029,3.7,400,"420 of 3140"
"Emery County",49015,4.0,415,"539 of 3140"
"Duchesne County",49013,6.0,1201,"1445 of 3140"
"Wasatch County",49051,6.0,1751,"1451 of 3140"
"Box Elder County",49003,6.2,3190,"1543 of 3140"
"Beaver County",49001,6.3,396,"1598 of 3140"
"Uintah County",49047,6.4,2281,"1615 of 3140"
"Summit County",49043,6.5,2544,"1659 of 3140"
"Rich County",49033,7.0,160,"1875 of 3140"
"Sanpete County",49039,7.2,2049,"1945 of 3140"
"Millard County",49027,7.6,950,"2125 of 3140"
"Sevier County",49041,7.8,1610,"2203 of 3140"
"Davis County",49011,7.9,25972,"2234 of 3140"
"Grand County",49019,7.9,743,"2248 of 3140"
"Tooele County",49045,8.4,5239,"2379 of 3140"
"Kane County",49025,8.6,618,"2451 of 3140"
"Iron County",49021,8.6,4123,"2453 of 3140"
"Weber County",49057,9.1,21950,"2592 of 3140"
"Carbon County",49007,9.3,1883,"2638 of 3140"
"Washington County",49053,9.6,14745,"2702 of 3140"
"Salt Lake County",49035,10.4,113674,"2862 of 3140"
"Cache County",49005,11.9,14007,"3027 of 3140"
"Utah County",49049,12.3,69668,"3051 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
