------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '49', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=49&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Utah by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Utah",49000,3.1,94287,"23 of 52"
"United States",00000,5.5,17756436,"N/A"
"Daggett County",49009,0.0,0,"2927 of 3141"
"Piute County",49031,0.0,0,"2927 of 3141"
"Rich County",49033,0.0,0,"2927 of 3141"
"Beaver County",49001,0.2,16,"2490 of 3141"
"Juab County",49023,0.3,30,"2427 of 3141"
"Grand County",49019,0.4,37,"2182 of 3141"
"Sevier County",49041,0.4,84,"2146 of 3141"
"Carbon County",49007,0.6,115,"1740 of 3141"
"Kane County",49025,0.6,42,"1705 of 3141"
"Uintah County",49047,0.6,226,"1614 of 3141"
"Emery County",49015,0.6,66,"1589 of 3141"
"Garfield County",49017,0.6,32,"1582 of 3141"
"Morgan County",49029,0.7,75,"1507 of 3141"
"Iron County",49021,0.7,337,"1478 of 3141"
"Duchesne County",49013,0.9,178,"1204 of 3141"
"Millard County",49027,0.9,112,"1194 of 3141"
"Box Elder County",49003,0.9,464,"1187 of 3141"
"Sanpete County",49039,0.9,267,"1150 of 3141"
"San Juan County",49037,1.0,158,"1031 of 3141"
"Tooele County",49045,1.3,821,"822 of 3141"
"Wasatch County",49051,1.3,382,"815 of 3141"
"Weber County",49057,1.4,3478,"756 of 3141"
"Washington County",49053,1.5,2365,"699 of 3141"
"Summit County",49043,1.7,670,"627 of 3141"
"Wayne County",49055,2.0,55,"523 of 3141"
"Utah County",49049,2.3,13084,"470 of 3141"
"Davis County",49011,2.5,8229,"436 of 3141"
"Cache County",49005,2.5,2977,"432 of 3141"
"Salt Lake County",49035,5.4,59987,"143 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
