------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Maine",23000,1.5,20427,"51 of 52"
"United States",00000,17.6,56510571,"N/A"
"Somerset County",23025,1.0,514,"2928 of 3141"
"Lincoln County",23015,1.1,379,"2892 of 3141"
"Aroostook County",23003,1.1,767,"2891 of 3141"
"Waldo County",23027,1.2,463,"2869 of 3141"
"Oxford County",23017,1.2,709,"2845 of 3141"
"Knox County",23013,1.3,498,"2835 of 3141"
"Penobscot County",23019,1.3,1935,"2822 of 3141"
"Franklin County",23007,1.3,390,"2808 of 3141"
"Hancock County",23009,1.3,727,"2783 of 3141"
"Piscataquis County",23021,1.4,230,"2772 of 3141"
"Kennebec County",23011,1.5,1779,"2708 of 3141"
"Sagadahoc County",23023,1.6,545,"2646 of 3141"
"York County",23031,1.6,3202,"2612 of 3141"
"Androscoggin County",23001,1.8,1927,"2494 of 3141"
"Washington County",23029,1.9,610,"2428 of 3141"
"Cumberland County",23005,2.0,5752,"2387 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
