------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"Maine",23000,53024.000000000,"32 of 52"
"United States",00000,57652.000000000,"N/A"
"Piscataquis County",23021,38797.000000000,"2581 of 3141"
"Aroostook County",23003,39021.000000000,"2556 of 3141"
"Washington County",23029,40328.000000000,"2447 of 3141"
"Somerset County",23025,41549.000000000,"2297 of 3141"
"Oxford County",23017,44582.000000000,"1981 of 3141"
"Franklin County",23007,45541.000000000,"1865 of 3141"
"Penobscot County",23019,47886.000000000,"1589 of 3141"
"Androscoggin County",23001,49538.000000000,"1418 of 3141"
"Kennebec County",23011,50116.000000000,"1347 of 3141"
"Waldo County",23027,50162.000000000,"1339 of 3141"
"Hancock County",23009,51438.000000000,"1184 of 3141"
"Knox County",23013,53117.000000000,"1007 of 3141"
"Lincoln County",23015,54041.000000000,"914 of 3141"
"Sagadahoc County",23023,60457.000000000,"498 of 3141"
"York County",23031,62618.000000000,"392 of 3141"
"Cumberland County",23005,65702.000000000,"296 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
