------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Maine",23000,1.3,16906,"47 of 52"
"United States",00000,12.7,40610815,"N/A"
"Oxford County",23017,0.3,164,"2783 of 3141"
"Lincoln County",23015,0.3,98,"2780 of 3141"
"Franklin County",23007,0.3,93,"2750 of 3141"
"Washington County",23029,0.5,146,"2582 of 3141"
"Somerset County",23025,0.5,245,"2551 of 3141"
"Piscataquis County",23021,0.5,82,"2544 of 3141"
"Waldo County",23027,0.6,229,"2431 of 3141"
"Knox County",23013,0.7,280,"2278 of 3141"
"Sagadahoc County",23023,0.7,262,"2242 of 3141"
"Penobscot County",23019,0.8,1189,"2217 of 3141"
"Hancock County",23009,0.8,439,"2192 of 3141"
"York County",23031,0.9,1725,"2147 of 3141"
"Kennebec County",23011,0.9,1088,"2114 of 3141"
"Aroostook County",23003,0.9,651,"2081 of 3141"
"Androscoggin County",23001,1.8,1904,"1698 of 3141"
"Cumberland County",23005,2.9,8311,"1431 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
