------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Maine",23000,48.9,651040,"19 of 52"
"United States",00000,49.2,158018753,"N/A"
"Sagadahoc County",23023,48.2,16942,"321 of 3141"
"Hancock County",23009,48.5,26394,"460 of 3141"
"Cumberland County",23005,48.6,140510,"543 of 3141"
"York County",23031,48.8,98215,"658 of 3141"
"Kennebec County",23011,48.8,59175,"684 of 3141"
"Lincoln County",23015,48.8,16599,"685 of 3141"
"Franklin County",23007,48.8,14739,"734 of 3141"
"Androscoggin County",23001,49.0,52550,"865 of 3141"
"Waldo County",23027,49.1,19269,"944 of 3141"
"Knox County",23013,49.4,19601,"1297 of 3141"
"Somerset County",23025,49.4,25180,"1308 of 3141"
"Washington County",23029,49.4,15714,"1311 of 3141"
"Aroostook County",23003,49.4,34006,"1341 of 3141"
"Oxford County",23017,49.4,28290,"1373 of 3141"
"Penobscot County",23019,49.5,75404,"1477 of 3141"
"Piscataquis County",23021,49.8,8452,"1792 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
