------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Maine",23000,7.9,75628,"8 of 52"
"United States",00000,12.7,27437114,"N/A"
"Sagadahoc County",23023,5.1,1319,"110 of 3141"
"Cumberland County",23005,5.3,10946,"126 of 3141"
"Hancock County",23009,5.8,2374,"174 of 3141"
"Knox County",23013,6.3,1883,"243 of 3141"
"Lincoln County",23015,7.0,1811,"340 of 3141"
"Waldo County",23027,7.1,2054,"362 of 3141"
"York County",23031,7.3,10618,"389 of 3141"
"Franklin County",23007,7.5,1607,"445 of 3141"
"Penobscot County",23019,8.6,9216,"701 of 3141"
"Kennebec County",23011,8.7,7558,"720 of 3141"
"Oxford County",23017,8.9,3719,"757 of 3141"
"Piscataquis County",23021,9.6,1239,"933 of 3141"
"Androscoggin County",23001,10.2,7584,"1083 of 3141"
"Washington County",23029,12.2,2861,"1524 of 3141"
"Somerset County",23025,12.3,4588,"1533 of 3141"
"Aroostook County",23003,12.4,6251,"1555 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
