------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Maine",23000,1.1,15053,"47 of 52"
"United States",00000,5.5,17756436,"N/A"
"Somerset County",23025,0.4,184,"2259 of 3141"
"Aroostook County",23003,0.4,296,"2066 of 3141"
"Waldo County",23027,0.5,177,"2008 of 3141"
"Washington County",23029,0.5,152,"1941 of 3141"
"Franklin County",23007,0.6,167,"1753 of 3141"
"Oxford County",23017,0.6,336,"1691 of 3141"
"Knox County",23013,0.6,243,"1642 of 3141"
"Sagadahoc County",23023,0.6,221,"1601 of 3141"
"Piscataquis County",23021,0.6,109,"1572 of 3141"
"Androscoggin County",23001,0.8,898,"1254 of 3141"
"Kennebec County",23011,0.9,1118,"1153 of 3141"
"Lincoln County",23015,0.9,323,"1128 of 3141"
"Hancock County",23009,1.1,576,"1012 of 3141"
"Penobscot County",23019,1.1,1649,"989 of 3141"
"York County",23031,1.2,2454,"882 of 3141"
"Cumberland County",23005,2.1,6150,"504 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
