------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Maine",23000,12.9,166904,"21 of 52"
"United States",00000,14.6,45650345,"N/A"
"York County",23031,8.5,16801,"292 of 3141"
"Cumberland County",23005,10.7,29984,"651 of 3141"
"Sagadahoc County",23023,11.3,3952,"781 of 3141"
"Hancock County",23009,11.6,6137,"833 of 3141"
"Knox County",23013,11.6,4469,"846 of 3141"
"Lincoln County",23015,11.8,3933,"871 of 3141"
"Franklin County",23007,12.4,3580,"985 of 3141"
"Kennebec County",23011,14.1,16623,"1365 of 3141"
"Waldo County",23027,14.3,5495,"1402 of 3141"
"Androscoggin County",23001,14.3,14910,"1403 of 3141"
"Oxford County",23017,15.2,8588,"1574 of 3141"
"Penobscot County",23019,15.9,23119,"1709 of 3141"
"Aroostook County",23003,17.5,11673,"2039 of 3141"
"Somerset County",23025,17.8,8928,"2095 of 3141"
"Washington County",23029,18.2,5599,"2179 of 3141"
"Piscataquis County",23021,18.7,3113,"2268 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
