------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"Maine",23000,86.5,1139201,"12 of 51"
"Androscoggin County",23001,84.6,89773,"2310 of 3140"
"Penobscot County",23019,84.9,128005,"2247 of 3140"
"Kennebec County",23011,85.0,101908,"2226 of 3140"
"Cumberland County",23005,85.1,243901,"2192 of 3140"
"Franklin County",23007,87.1,26133,"1578 of 3140"
"Somerset County",23025,87.2,44128,"1549 of 3140"
"York County",23031,87.3,174255,"1516 of 3140"
"Waldo County",23027,87.5,34081,"1450 of 3140"
"Sagadahoc County",23023,87.6,30484,"1396 of 3140"
"Washington County",23029,87.9,27739,"1311 of 3140"
"Aroostook County",23003,88.0,60041,"1249 of 3140"
"Knox County",23013,88.2,34650,"1206 of 3140"
"Lincoln County",23015,88.9,30057,"956 of 3140"
"Oxford County",23017,88.9,50482,"955 of 3140"
"Hancock County",23009,89.8,48338,"679 of 3140"
"Piscataquis County",23021,90.5,15226,"514 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
