------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Maine",23000,2.6,34338,"21 of 51"
"Piscataquis County",23021,1.1,182,"742 of 3140"
"Sagadahoc County",23023,1.5,525,"1270 of 3140"
"Somerset County",23025,1.7,854,"1476 of 3140"
"Washington County",23029,1.7,549,"1541 of 3140"
"Lincoln County",23015,1.8,604,"1589 of 3140"
"Androscoggin County",23001,1.9,2010,"1686 of 3140"
"Hancock County",23009,1.9,1020,"1688 of 3140"
"Kennebec County",23011,2.0,2343,"1744 of 3140"
"Aroostook County",23003,2.3,1541,"1994 of 3140"
"Knox County",23013,2.3,895,"2006 of 3140"
"Oxford County",23017,2.3,1297,"2013 of 3140"
"Franklin County",23007,2.5,756,"2172 of 3140"
"Waldo County",23027,2.7,1044,"2266 of 3140"
"Penobscot County",23019,2.7,4089,"2287 of 3140"
"Cumberland County",23005,3.2,9300,"2568 of 3140"
"York County",23031,3.7,7329,"2718 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
