------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Maine",23000,1.0,5584,"5 of 51"
"United States",00000,4.5,5305440,"N/A"
"Franklin County",23007,0.1,11,"392 of 3140"
"Knox County",23013,0.1,24,"478 of 3140"
"Oxford County",23017,0.1,31,"489 of 3140"
"Waldo County",23027,0.2,27,"516 of 3140"
"Piscataquis County",23021,0.2,12,"520 of 3140"
"Sagadahoc County",23023,0.2,37,"656 of 3140"
"Hancock County",23009,0.3,75,"809 of 3140"
"Lincoln County",23015,0.3,51,"846 of 3140"
"Penobscot County",23019,0.4,255,"997 of 3140"
"Washington County",23029,0.5,75,"1179 of 3140"
"Kennebec County",23011,0.7,338,"1365 of 3140"
"Somerset County",23025,0.7,156,"1446 of 3140"
"York County",23031,1.1,928,"1816 of 3140"
"Cumberland County",23005,1.6,1953,"2179 of 3140"
"Androscoggin County",23001,1.7,786,"2222 of 3140"
"Aroostook County",23003,2.8,825,"2582 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
