------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Maine",23000,94.6,1258918,"1 of 52"
"Washington County",23029,91.2,29037,"1425 of 3141"
"Androscoggin County",23001,92.0,98722,"1322 of 3141"
"Cumberland County",23005,92.1,266351,"1305 of 3141"
"Penobscot County",23019,94.9,144494,"849 of 3141"
"Aroostook County",23003,95.1,65491,"802 of 3141"
"Sagadahoc County",23023,95.6,33614,"702 of 3141"
"York County",23031,95.9,193225,"627 of 3141"
"Kennebec County",23011,95.9,116339,"626 of 3141"
"Hancock County",23009,96.0,52313,"592 of 3141"
"Piscataquis County",23021,96.3,16329,"531 of 3141"
"Oxford County",23017,96.4,55180,"497 of 3141"
"Knox County",23013,96.5,38328,"468 of 3141"
"Waldo County",23027,96.6,37931,"458 of 3141"
"Franklin County",23007,96.6,29151,"446 of 3141"
"Somerset County",23025,96.8,49348,"389 of 3141"
"Lincoln County",23015,97.2,33065,"272 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
