------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Maine",23000,55.2,734216,"1 of 52"
"Androscoggin County",23001,50.7,54443,"1731 of 3141"
"Penobscot County",23019,52.2,79457,"1380 of 3141"
"Cumberland County",23005,52.6,152042,"1277 of 3141"
"Kennebec County",23011,55.0,66722,"770 of 3141"
"Franklin County",23007,55.4,16729,"691 of 3141"
"York County",23031,56.1,113052,"598 of 3141"
"Waldo County",23027,57.1,22443,"469 of 3141"
"Somerset County",23025,57.6,29359,"406 of 3141"
"Sagadahoc County",23023,57.6,20240,"403 of 3141"
"Oxford County",23017,57.9,33138,"381 of 3141"
"Aroostook County",23003,58.5,40243,"326 of 3141"
"Washington County",23029,58.8,18726,"292 of 3141"
"Knox County",23013,59.1,23467,"278 of 3141"
"Hancock County",23009,59.4,32346,"255 of 3141"
"Lincoln County",23015,62.4,21227,"122 of 3141"
"Piscataquis County",23021,62.4,10582,"121 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
