------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Maine",23000,0.6,8212,"22 of 52"
"United States",00000,0.8,2632102,"N/A"
"Androscoggin County",23001,0.2,190,"2287 of 3141"
"Cumberland County",23005,0.2,631,"2079 of 3141"
"Waldo County",23027,0.3,116,"1748 of 3141"
"Oxford County",23017,0.3,200,"1526 of 3141"
"Sagadahoc County",23023,0.4,130,"1459 of 3141"
"Hancock County",23009,0.4,203,"1451 of 3141"
"York County",23031,0.4,760,"1441 of 3141"
"Somerset County",23025,0.4,202,"1385 of 3141"
"Franklin County",23007,0.4,128,"1321 of 3141"
"Knox County",23013,0.4,169,"1317 of 3141"
"Lincoln County",23015,0.5,165,"1188 of 3141"
"Kennebec County",23011,0.6,768,"971 of 3141"
"Piscataquis County",23021,0.7,112,"939 of 3141"
"Penobscot County",23019,1.1,1751,"577 of 3141"
"Aroostook County",23003,1.7,1182,"428 of 3141"
"Washington County",23029,4.7,1505,"210 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
