------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Maine",23000,19.3,256827,"50 of 52"
"United States",00000,22.9,73601279,"N/A"
"Lincoln County",23015,17.1,5814,"2984 of 3141"
"Piscataquis County",23021,17.4,2948,"2963 of 3141"
"Hancock County",23009,17.5,9543,"2950 of 3141"
"Knox County",23013,18.3,7277,"2840 of 3141"
"Franklin County",23007,18.4,5545,"2831 of 3141"
"Penobscot County",23019,18.6,28278,"2811 of 3141"
"Aroostook County",23003,18.7,12854,"2797 of 3141"
"Washington County",23029,18.9,6020,"2749 of 3141"
"Waldo County",23027,19.3,7582,"2674 of 3141"
"Cumberland County",23005,19.4,55981,"2658 of 3141"
"Sagadahoc County",23023,19.4,6824,"2642 of 3141"
"Oxford County",23017,19.5,11184,"2603 of 3141"
"York County",23031,19.6,39428,"2597 of 3141"
"Kennebec County",23011,19.7,23921,"2560 of 3141"
"Somerset County",23025,19.8,10076,"2547 of 3141"
"Androscoggin County",23001,21.9,23552,"1792 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
