------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '23', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=23&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Maine by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Maine",23000,2.8,26575,"6 of 52"
"United States",00000,5.4,11759554,"N/A"
"Knox County",23013,1.3,394,"95 of 3141"
"Sagadahoc County",23023,1.5,389,"139 of 3141"
"Cumberland County",23005,1.8,3626,"223 of 3141"
"Hancock County",23009,2.0,809,"307 of 3141"
"Waldo County",23027,2.0,575,"324 of 3141"
"Lincoln County",23015,2.1,538,"362 of 3141"
"Franklin County",23007,2.3,504,"496 of 3141"
"York County",23031,2.7,3965,"701 of 3141"
"Oxford County",23017,2.7,1152,"729 of 3141"
"Penobscot County",23019,2.8,2972,"745 of 3141"
"Piscataquis County",23021,3.4,444,"1141 of 3141"
"Somerset County",23025,3.4,1292,"1148 of 3141"
"Kennebec County",23011,3.6,3164,"1253 of 3141"
"Androscoggin County",23001,3.9,2904,"1393 of 3141"
"Washington County",23029,4.7,1090,"1735 of 3141"
"Aroostook County",23003,5.4,2757,"2003 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
