------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Missouri",29000,11.6,703061,"20 of 52"
"United States",00000,12.7,40610815,"N/A"
"Carter County",29035,0.0,1,"3048 of 3141"
"Ozark County",29153,0.0,4,"3026 of 3141"
"Hickory County",29085,0.1,6,"3003 of 3141"
"Cedar County",29039,0.1,9,"3002 of 3141"
"Shannon County",29203,0.1,7,"2982 of 3141"
"Dallas County",29059,0.1,14,"2981 of 3141"
"Douglas County",29067,0.1,14,"2962 of 3141"
"Stone County",29209,0.2,50,"2898 of 3141"
"Oregon County",29149,0.2,19,"2885 of 3141"
"Ripley County",29181,0.2,32,"2829 of 3141"
"Barton County",29011,0.2,28,"2826 of 3141"
"Crawford County",29055,0.3,64,"2800 of 3141"
"Clark County",29045,0.3,18,"2796 of 3141"
"Worth County",29227,0.3,6,"2773 of 3141"
"Perry County",29157,0.3,58,"2757 of 3141"
"Holt County",29087,0.3,14,"2747 of 3141"
"Howell County",29091,0.3,130,"2726 of 3141"
"Barry County",29009,0.3,115,"2722 of 3141"
"Benton County",29015,0.4,67,"2697 of 3141"
"Atchison County",29005,0.4,20,"2679 of 3141"
"Maries County",29125,0.4,34,"2675 of 3141"
"Miller County",29131,0.4,95,"2672 of 3141"
"Dade County",29057,0.4,30,"2656 of 3141"
"Knox County",29103,0.4,16,"2645 of 3141"
"Mercer County",29129,0.4,15,"2637 of 3141"
"Bollinger County",29017,0.4,53,"2619 of 3141"
"Putnam County",29171,0.5,22,"2589 of 3141"
"Dent County",29065,0.5,77,"2529 of 3141"
"Linn County",29115,0.5,62,"2518 of 3141"
"Caldwell County",29025,0.5,46,"2514 of 3141"
"Laclede County",29105,0.5,188,"2494 of 3141"
"Christian County",29043,0.6,474,"2447 of 3141"
"Grundy County",29079,0.6,59,"2430 of 3141"
"Wright County",29229,0.6,109,"2411 of 3141"
"Wayne County",29223,0.6,81,"2396 of 3141"
"Gasconade County",29073,0.6,91,"2388 of 3141"
"Polk County",29167,0.6,197,"2372 of 3141"
"Lawrence County",29109,0.6,242,"2367 of 3141"
"Osage County",29151,0.7,89,"2346 of 3141"
"Daviess County",29061,0.8,65,"2214 of 3141"
"Harrison County",29081,0.8,68,"2209 of 3141"
"Camden County",29029,0.8,355,"2206 of 3141"
"Franklin County",29071,0.8,845,"2174 of 3141"
"Schuyler County",29197,0.8,37,"2170 of 3141"
"Morgan County",29141,0.8,168,"2166 of 3141"
"St. Clair County",29185,0.9,80,"2150 of 3141"
"Carroll County",29033,0.9,77,"2140 of 3141"
"Gentry County",29075,0.9,63,"2085 of 3141"
"Madison County",29123,0.9,116,"2075 of 3141"
"Newton County",29145,1.0,558,"2065 of 3141"
"Taney County",29213,1.0,548,"2029 of 3141"
"Jefferson County",29099,1.0,2269,"2027 of 3141"
"Vernon County",29217,1.1,219,"2003 of 3141"
"Bates County",29013,1.2,205,"1916 of 3141"
"Webster County",29225,1.3,499,"1886 of 3141"
"Ralls County",29173,1.3,136,"1883 of 3141"
"Henry County",29083,1.5,317,"1824 of 3141"
"Montgomery County",29139,1.5,176,"1792 of 3141"
"Stoddard County",29207,1.5,451,"1787 of 3141"
"Ray County",29177,1.5,352,"1777 of 3141"
"Iron County",29093,1.5,159,"1775 of 3141"
"Scotland County",29199,1.7,82,"1724 of 3141"
"Andrew County",29003,1.8,308,"1697 of 3141"
"Sullivan County",29211,1.8,115,"1682 of 3141"
"Reynolds County",29179,1.8,116,"1675 of 3141"
