------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Missouri",29000,28.2,1155709,"33 of 52"
"United States",00000,30.9,66887603,"N/A"
"Washington County",29221,8.9,1540,"3088 of 3141"
"Bollinger County",29017,9.4,817,"3061 of 3141"
"Douglas County",29067,9.4,907,"3059 of 3141"
"Reynolds County",29179,9.8,452,"3043 of 3141"
"Hickory County",29085,9.8,716,"3037 of 3141"
"Sullivan County",29211,10.7,473,"2984 of 3141"
"Crawford County",29055,11.2,1885,"2933 of 3141"
"Mississippi County",29133,11.4,1114,"2911 of 3141"
"Benton County",29015,11.6,1690,"2883 of 3141"
"Iron County",29093,11.7,865,"2871 of 3141"
"Wright County",29229,11.8,1461,"2857 of 3141"
"Ripley County",29181,11.9,1148,"2844 of 3141"
"Pemiscot County",29155,12.0,1347,"2835 of 3141"
"Wayne County",29223,12.1,1161,"2827 of 3141"
"Dallas County",29059,12.1,1377,"2812 of 3141"
"Carter County",29035,12.3,524,"2784 of 3141"
"Madison County",29123,12.5,1066,"2759 of 3141"
"Morgan County",29141,12.6,1809,"2735 of 3141"
"New Madrid County",29143,12.6,1568,"2728 of 3141"
"Scotland County",29199,12.6,393,"2723 of 3141"
"McDonald County",29119,12.7,1902,"2709 of 3141"
"Barry County",29009,12.8,3115,"2707 of 3141"
"Oregon County",29149,12.8,973,"2703 of 3141"
"Dunklin County",29069,12.9,2614,"2691 of 3141"
