------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Missouri",29000,8.5,511802,"26 of 51"
"Ralls County",29173,2.2,223,"122 of 3140"
"Maries County",29125,2.8,249,"209 of 3140"
"Howard County",29089,2.9,296,"247 of 3140"
"DeKalb County",29063,3.2,403,"308 of 3140"
"Mercer County",29129,3.7,136,"443 of 3140"
"Andrew County",29003,4.0,683,"521 of 3140"
"Washington County",29221,4.2,1045,"594 of 3140"
"Daviess County",29061,4.2,348,"599 of 3140"
"St. Clair County",29185,4.4,407,"645 of 3140"
"Cooper County",29053,4.4,766,"663 of 3140"
"Oregon County",29149,4.5,477,"693 of 3140"
"Stone County",29209,4.5,1403,"697 of 3140"
"Randolph County",29175,4.5,1117,"705 of 3140"
"Chariton County",29041,4.6,343,"730 of 3140"
"Dallas County",29059,4.8,772,"808 of 3140"
"Moniteau County",29135,4.8,756,"829 of 3140"
"McDonald County",29119,4.8,1080,"838 of 3140"
"Lewis County",29111,4.9,489,"873 of 3140"
"Ste. Genevieve County",29186,5.0,891,"925 of 3140"
"Clark County",29045,5.0,340,"939 of 3140"
"Caldwell County",29025,5.1,458,"964 of 3140"
"Putnam County",29171,5.1,244,"965 of 3140"
"Miller County",29131,5.1,1256,"969 of 3140"
"Perry County",29157,5.1,966,"970 of 3140"
"Barton County",29011,5.2,612,"1005 of 3140"
"Monroe County",29137,5.2,450,"1035 of 3140"
"Christian County",29043,5.3,4361,"1084 of 3140"
"Bollinger County",29017,5.3,652,"1090 of 3140"
"Montgomery County",29139,5.4,618,"1106 of 3140"
"Audrain County",29007,5.4,1375,"1108 of 3140"
"Callaway County",29027,5.4,2401,"1126 of 3140"
"Wayne County",29223,5.5,730,"1173 of 3140"
"Dade County",29057,5.6,418,"1195 of 3140"
"Macon County",29121,5.6,849,"1201 of 3140"
"Grundy County",29079,5.6,559,"1215 of 3140"
"Linn County",29115,5.6,686,"1236 of 3140"
"Osage County",29151,5.7,764,"1260 of 3140"
"Warren County",29219,5.7,1895,"1270 of 3140"
"Douglas County",29067,5.7,761,"1278 of 3140"
