------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Missouri",29000,1.6,39127,"47 of 52"
"United States",00000,3.3,3975282,"N/A"
"Atchison County",29005,0.2,6,"3069 of 3141"
"Hickory County",29085,0.6,22,"2967 of 3141"
"Adair County",29001,0.6,55,"2958 of 3141"
"Cedar County",29039,0.6,34,"2956 of 3141"
"St. Charles County",29183,0.8,1101,"2837 of 3141"
"Schuyler County",29197,0.9,15,"2713 of 3141"
"Linn County",29115,0.9,46,"2686 of 3141"
"Knox County",29103,0.9,15,"2675 of 3141"
"Monroe County",29137,0.9,34,"2670 of 3141"
"Clinton County",29049,1.0,79,"2653 of 3141"
"St. Louis County",29189,1.0,4138,"2579 of 3141"
"Osage County",29151,1.1,54,"2554 of 3141"
"Putnam County",29171,1.1,21,"2536 of 3141"
"Cooper County",29053,1.1,69,"2534 of 3141"
"Cole County",29051,1.1,322,"2526 of 3141"
"Clay County",29047,1.1,977,"2523 of 3141"
"Worth County",29227,1.1,10,"2469 of 3141"
"Pike County",29163,1.1,77,"2446 of 3141"
"Andrew County",29003,1.2,81,"2407 of 3141"
"Oregon County",29149,1.2,54,"2341 of 3141"
"Morgan County",29141,1.3,99,"2299 of 3141"
"Macon County",29121,1.3,77,"2289 of 3141"
"Holt County",29087,1.3,27,"2288 of 3141"
"Callaway County",29027,1.3,206,"2287 of 3141"
"Nodaway County",29147,1.3,109,"2281 of 3141"
"Platte County",29165,1.3,498,"2252 of 3141"
"Stoddard County",29207,1.3,155,"2232 of 3141"
"Audrain County",29007,1.3,127,"2200 of 3141"
"Clark County",29045,1.4,40,"2167 of 3141"
"Randolph County",29175,1.4,115,"2164 of 3141"
