------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Missouri",29000,96.0,5830880,"42 of 52"
"Sullivan County",29211,81.5,5202,"419 of 3141"
"McDonald County",29119,88.4,20122,"644 of 3141"
"Pulaski County",29169,89.1,47362,"682 of 3141"
"Saline County",29195,90.3,20779,"759 of 3141"
"Barry County",29009,91.0,32229,"813 of 3141"
"Jackson County",29095,91.2,627708,"821 of 3141"
"Pettis County",29159,91.4,38683,"845 of 3141"
"Jasper County",29097,92.3,109408,"915 of 3141"
"Lawrence County",29109,92.8,35401,"979 of 3141"
"Clay County",29047,93.4,220478,"1043 of 3141"
"Buchanan County",29021,93.6,83719,"1075 of 3141"
"Dunklin County",29069,93.6,28939,"1079 of 3141"
"Platte County",29165,94.2,91298,"1166 of 3141"
"Taney County",29213,94.4,51289,"1205 of 3141"
"Newton County",29145,94.9,55243,"1287 of 3141"
"Moniteau County",29135,95.4,15175,"1407 of 3141"
"Cass County",29037,95.8,97586,"1497 of 3141"
"Johnson County",29101,95.9,51738,"1541 of 3141"
"St. Louis City",29510,96.1,302587,"1588 of 3141"
"Greene County",29077,96.5,276698,"1697 of 3141"
"Boone County",29019,96.7,168860,"1760 of 3141"
"Warren County",29219,96.8,32474,"1787 of 3141"
"St. Charles County",29183,96.8,372952,"1818 of 3141"
"Audrain County",29007,97.1,25009,"1910 of 3141"
"Christian County",29043,97.2,80703,"1967 of 3141"
"St. Louis County",29189,97.2,971755,"1979 of 3141"
"Cole County",29051,97.2,74631,"1989 of 3141"
"Lafayette County",29107,97.3,31768,"2017 of 3141"
"Camden County",29029,97.3,43643,"2024 of 3141"
"Maries County",29125,97.5,8733,"2106 of 3141"
"Barton County",29011,97.5,11642,"2113 of 3141"
"Pemiscot County",29155,97.6,16923,"2148 of 3141"
"Phelps County",29161,97.6,43787,"2151 of 3141"
"Adair County",29001,97.7,24841,"2189 of 3141"
"Madison County",29123,97.7,11940,"2192 of 3141"
"Lincoln County",29113,97.7,53519,"2193 of 3141"
"Ray County",29177,97.7,22325,"2195 of 3141"
"Polk County",29167,97.7,30621,"2205 of 3141"
"Laclede County",29105,97.7,34669,"2207 of 3141"
"Andrew County",29003,97.7,16959,"2216 of 3141"
"Cape Girardeau County",29031,97.7,76232,"2225 of 3141"
"Carter County",29035,97.7,6113,"2233 of 3141"
"DeKalb County",29063,97.8,12282,"2243 of 3141"
"Henry County",29083,97.8,21348,"2253 of 3141"
"Pike County",29163,97.8,18110,"2270 of 3141"
"Scott County",29201,97.8,38020,"2295 of 3141"
"Morgan County",29141,97.9,19668,"2312 of 3141"
"Perry County",29157,97.9,18728,"2313 of 3141"
"Harrison County",29081,97.9,8433,"2318 of 3141"
"Stone County",29209,97.9,30867,"2327 of 3141"
"Caldwell County",29025,97.9,8858,"2341 of 3141"
"Grundy County",29079,97.9,9901,"2342 of 3141"
"Linn County",29115,97.9,11994,"2344 of 3141"
"Bates County",29013,97.9,16065,"2345 of 3141"
"Vernon County",29217,97.9,20239,"2350 of 3141"
"Howell County",29091,97.9,39316,"2356 of 3141"
"Texas County",29215,98.0,25189,"2359 of 3141"
"Butler County",29023,98.0,41966,"2374 of 3141"
"Cedar County",29039,98.0,13584,"2378 of 3141"
"Clinton County",29049,98.0,20085,"2379 of 3141"
"Callaway County",29027,98.0,43899,"2381 of 3141"
"Dade County",29057,98.0,7430,"2383 of 3141"
"Mississippi County",29133,98.0,13639,"2386 of 3141"
"Randolph County",29175,98.0,24496,"2405 of 3141"
"Webster County",29225,98.0,36825,"2409 of 3141"
"Dallas County",29059,98.1,16122,"2417 of 3141"
"Benton County",29015,98.1,18560,"2440 of 3141"
"Crawford County",29055,98.1,23928,"2446 of 3141"
"Jefferson County",29099,98.2,218531,"2466 of 3141"
"Shannon County",29203,98.2,8123,"2483 of 3141"
"Miller County",29131,98.2,24496,"2490 of 3141"
"Cooper County",29053,98.2,17306,"2506 of 3141"
"Montgomery County",29139,98.2,11411,"2507 of 3141"
"New Madrid County",29143,98.2,17713,"2521 of 3141"
"Iron County",29093,98.3,10106,"2524 of 3141"
"Lewis County",29111,98.3,9902,"2526 of 3141"
"Mercer County",29129,98.3,3606,"2544 of 3141"
"Ozark County",29153,98.3,9168,"2547 of 3141"
"Wright County",29229,98.3,17991,"2552 of 3141"
"Shelby County",29205,98.3,5980,"2553 of 3141"
"Franklin County",29071,98.3,100707,"2573 of 3141"
"Livingston County",29117,98.3,14775,"2575 of 3141"
"Stoddard County",29207,98.4,29146,"2583 of 3141"
"Oregon County",29149,98.4,10603,"2589 of 3141"
"Wayne County",29223,98.4,13152,"2593 of 3141"
"Marion County",29127,98.4,28238,"2595 of 3141"
"Nodaway County",29147,98.4,22379,"2605 of 3141"
"Dent County",29065,98.4,15317,"2608 of 3141"
"Monroe County",29137,98.4,8541,"2640 of 3141"
