------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Missouri",29000,84.3,5062757,"31 of 51"
"United States",00000,85.4,270854872,"N/A"
"Pulaski County",29169,61.0,31979,"3137 of 3140"
"Nodaway County",29147,70.7,15996,"3124 of 3140"
"Adair County",29001,71.4,18003,"3121 of 3140"
"Johnson County",29101,72.6,38623,"3112 of 3140"
"Boone County",29019,76.1,131349,"3071 of 3140"
"Phelps County",29161,78.3,34485,"3019 of 3140"
"Greene County",29077,78.6,222887,"3008 of 3140"
"Cape Girardeau County",29031,79.9,61529,"2941 of 3140"
"St. Louis City",29510,80.6,250811,"2889 of 3140"
"Taney County",29213,81.0,43522,"2856 of 3140"
"Pemiscot County",29155,81.1,13820,"2846 of 3140"
"Dunklin County",29069,81.2,24721,"2833 of 3140"
"Pettis County",29159,81.3,33967,"2831 of 3140"
"Mississippi County",29133,81.4,11153,"2817 of 3140"
"St. Francois County",29187,81.6,53576,"2804 of 3140"
"Saline County",29195,81.9,18576,"2774 of 3140"
"Buchanan County",29021,82.1,72321,"2737 of 3140"
"DeKalb County",29063,82.4,10284,"2708 of 3140"
"Platte County",29165,82.4,79150,"2698 of 3140"
"Barry County",29009,82.7,28875,"2665 of 3140"
"Pike County",29163,82.8,15148,"2643 of 3140"
"Butler County",29023,82.9,35211,"2636 of 3140"
"Dent County",29065,83.3,12839,"2572 of 3140"
"Clay County",29047,83.4,194741,"2551 of 3140"
"Dade County",29057,83.5,6272,"2542 of 3140"
"Shannon County",29203,83.6,6859,"2526 of 3140"
"Benton County",29015,83.7,15731,"2505 of 3140"
"Webster County",29225,83.7,31013,"2492 of 3140"
"Cole County",29051,83.9,63638,"2461 of 3140"
"Polk County",29167,84.0,26148,"2436 of 3140"
"Clinton County",29049,84.2,17037,"2404 of 3140"
"Vernon County",29217,84.2,17166,"2401 of 3140"
"Henry County",29083,84.2,18217,"2390 of 3140"
"Scott County",29201,84.5,32326,"2329 of 3140"
"Lawrence County",29109,84.6,31849,"2313 of 3140"
"Iron County",29093,84.7,8638,"2286 of 3140"
"Livingston County",29117,84.7,12495,"2284 of 3140"
"Jackson County",29095,84.8,575506,"2279 of 3140"
"Cedar County",29039,85.0,11627,"2222 of 3140"
"Texas County",29215,85.2,21690,"2175 of 3140"
"Moniteau County",29135,85.2,13391,"2157 of 3140"
"Sullivan County",29211,85.3,5370,"2145 of 3140"
"St. Clair County",29185,85.3,7966,"2144 of 3140"
"Wright County",29229,85.4,15482,"2128 of 3140"
"Douglas County",29067,85.4,11335,"2108 of 3140"
"Lafayette County",29107,85.4,27554,"2104 of 3140"
"Gasconade County",29073,85.5,12458,"2099 of 3140"
"Carter County",29035,85.5,5331,"2098 of 3140"
"Harrison County",29081,85.5,7259,"2085 of 3140"
"Marion County",29127,85.5,24233,"2073 of 3140"
"Newton County",29145,85.5,49242,"2072 of 3140"
"Callaway County",29027,85.6,37905,"2056 of 3140"
"Hickory County",29085,85.7,7970,"2042 of 3140"
"Audrain County",29007,85.7,21896,"2038 of 3140"
"Howell County",29091,85.9,33983,"1998 of 3140"
"St. Louis County",29189,85.9,849240,"1979 of 3140"
"Morgan County",29141,85.9,17067,"1972 of 3140"
"Camden County",29029,86.1,38355,"1905 of 3140"
"Bates County",29013,86.2,14040,"1893 of 3140"
"Maries County",29125,86.2,7685,"1888 of 3140"
"Lewis County",29111,86.2,8610,"1875 of 3140"
"Christian County",29043,86.2,70466,"1872 of 3140"
"Randolph County",29175,86.3,21402,"1855 of 3140"
