------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Missouri",29000,3.4,139870,"15 of 52"
"United States",00000,5.4,11759554,"N/A"
"Clinton County",29049,1.5,210,"132 of 3141"
"St. Charles County",29183,1.5,4007,"160 of 3141"
"Platte County",29165,1.6,1030,"165 of 3141"
"Clay County",29047,1.9,3080,"293 of 3141"
"Christian County",29043,2.0,1093,"318 of 3141"
"St. Louis County",29189,2.0,13753,"323 of 3141"
"Boone County",29019,2.0,2073,"325 of 3141"
"Greene County",29077,2.1,3985,"395 of 3141"
"Cass County",29037,2.2,1481,"410 of 3141"
"Johnson County",29101,2.4,730,"502 of 3141"
"Taney County",29213,2.5,937,"582 of 3141"
"Cole County",29051,2.7,1410,"693 of 3141"
"Lincoln County",29113,2.7,970,"700 of 3141"
"Chariton County",29041,2.7,146,"714 of 3141"
"Cape Girardeau County",29031,2.8,1393,"747 of 3141"
"Pulaski County",29169,2.8,817,"759 of 3141"
"Jefferson County",29099,2.8,4332,"795 of 3141"
"Holt County",29087,3.0,99,"857 of 3141"
"Stone County",29209,3.0,715,"865 of 3141"
"Caldwell County",29025,3.0,187,"905 of 3141"
"Andrew County",29003,3.0,367,"927 of 3141"
"Atchison County",29005,3.1,123,"965 of 3141"
"DeKalb County",29063,3.1,296,"975 of 3141"
"Ray County",29177,3.2,500,"989 of 3141"
"Camden County",29029,3.2,1092,"1027 of 3141"
"Henry County",29083,3.3,505,"1033 of 3141"
"Jackson County",29095,3.3,15204,"1047 of 3141"
"Adair County",29001,3.3,441,"1051 of 3141"
"Monroe County",29137,3.3,204,"1070 of 3141"
"Nodaway County",29147,3.3,419,"1085 of 3141"
"Ralls County",29173,3.4,244,"1105 of 3141"
"Polk County",29167,3.4,679,"1121 of 3141"
"Putnam County",29171,3.4,117,"1123 of 3141"
"Lewis County",29111,3.7,242,"1284 of 3141"
"Marion County",29127,3.7,718,"1297 of 3141"
"Shelby County",29205,3.7,157,"1309 of 3141"
"Vernon County",29217,3.8,521,"1326 of 3141"
"Franklin County",29071,3.9,2727,"1379 of 3141"
"Lafayette County",29107,3.9,886,"1399 of 3141"
"Buchanan County",29021,3.9,2370,"1400 of 3141"
"Warren County",29219,3.9,910,"1407 of 3141"
"Cooper County",29053,4.0,486,"1430 of 3141"
"Bates County",29013,4.1,458,"1473 of 3141"
"St. Louis City",29510,4.2,9177,"1517 of 3141"
"Livingston County",29117,4.3,456,"1557 of 3141"
"Howell County",29091,4.3,1165,"1565 of 3141"
