------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Missouri",29000,0.4,25933,"29 of 52"
"United States",00000,0.8,2632102,"N/A"
"Carroll County",29033,0.0,0,"2960 of 3141"
"Crawford County",29055,0.0,0,"2960 of 3141"
"Knox County",29103,0.0,0,"2960 of 3141"
"Mercer County",29129,0.0,0,"2960 of 3141"
"Scotland County",29199,0.0,0,"2960 of 3141"
"Ste. Genevieve County",29186,0.0,0,"2960 of 3141"
"Schuyler County",29197,0.0,1,"2917 of 3141"
"Cedar County",29039,0.0,4,"2898 of 3141"
"Shelby County",29205,0.0,2,"2880 of 3141"
"Worth County",29227,0.1,2,"2638 of 3141"
"Montgomery County",29139,0.1,12,"2621 of 3141"
"Pemiscot County",29155,0.1,18,"2617 of 3141"
"Douglas County",29067,0.1,14,"2615 of 3141"
"Stoddard County",29207,0.1,32,"2595 of 3141"
"Andrew County",29003,0.1,26,"2412 of 3141"
"Ozark County",29153,0.2,14,"2408 of 3141"
"Pettis County",29159,0.2,71,"2338 of 3141"
"St. Louis County",29189,0.2,1697,"2328 of 3141"
"Marion County",29127,0.2,49,"2322 of 3141"
"Monroe County",29137,0.2,15,"2310 of 3141"
"St. Charles County",29183,0.2,687,"2279 of 3141"
"Harrison County",29081,0.2,16,"2239 of 3141"
"Putnam County",29171,0.2,9,"2239 of 3141"
"Wright County",29229,0.2,34,"2237 of 3141"
"Franklin County",29071,0.2,195,"2211 of 3141"
"Linn County",29115,0.2,24,"2187 of 3141"
