------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Missouri",29000,24.0,1415025,"29 of 52"
"St. Charles County",29183,9.7,36749,"38 of 3141"
"Platte County",29165,12.0,11490,"94 of 3141"
"Clay County",29047,15.5,35992,"263 of 3141"
"Osage County",29151,16.3,2171,"319 of 3141"
"Cass County",29037,16.3,16387,"324 of 3141"
"St. Louis County",29189,16.5,160981,"341 of 3141"
"Jefferson County",29099,18.5,40640,"539 of 3141"
"Callaway County",29027,18.9,7690,"597 of 3141"
"Franklin County",29071,19.1,19315,"621 of 3141"
"Andrew County",29003,19.4,3316,"651 of 3141"
"Clinton County",29049,19.5,3864,"660 of 3141"
"Moniteau County",29135,19.8,2875,"713 of 3141"
"Christian County",29043,20.7,17001,"835 of 3141"
"Gasconade County",29073,20.7,2993,"845 of 3141"
"Warren County",29219,21.0,6985,"877 of 3141"
"Cole County",29051,21.4,15373,"940 of 3141"
"Lafayette County",29107,21.7,6946,"972 of 3141"
"Ray County",29177,21.9,4945,"997 of 3141"
"Perry County",29157,22.0,4123,"1011 of 3141"
"Atchison County",29005,22.1,1154,"1019 of 3141"
"Lincoln County",29113,22.1,11924,"1029 of 3141"
"Ralls County",29173,22.3,2240,"1041 of 3141"
"Cooper County",29053,22.7,3640,"1108 of 3141"
"Pulaski County",29169,23.4,10168,"1200 of 3141"
"Monroe County",29137,24.0,2052,"1288 of 3141"
"Ste. Genevieve County",29186,24.6,4344,"1386 of 3141"
"Johnson County",29101,24.7,12161,"1408 of 3141"
"DeKalb County",29063,25.0,2260,"1445 of 3141"
"Newton County",29145,25.2,14416,"1467 of 3141"
"Jackson County",29095,25.5,172477,"1506 of 3141"
"Cape Girardeau County",29031,26.0,19464,"1589 of 3141"
"Holt County",29087,26.2,1146,"1603 of 3141"
"Stone County",29209,26.3,8178,"1613 of 3141"
"Lewis County",29111,26.3,2453,"1615 of 3141"
"Bates County",29013,26.4,4222,"1635 of 3141"
"Buchanan County",29021,26.5,22519,"1653 of 3141"
"Shelby County",29205,26.5,1542,"1663 of 3141"
"Camden County",29029,26.7,11817,"1697 of 3141"
"Linn County",29115,26.7,3235,"1699 of 3141"
"Gentry County",29075,26.8,1745,"1710 of 3141"
"Boone County",29019,26.8,44392,"1717 of 3141"
"Livingston County",29117,26.9,3712,"1730 of 3141"
"Daviess County",29061,27.2,2192,"1764 of 3141"
"Audrain County",29007,27.3,6456,"1785 of 3141"
"Worth County",29227,27.4,547,"1792 of 3141"
"St. Francois County",29187,27.4,16235,"1794 of 3141"
"Clark County",29045,27.6,1844,"1813 of 3141"
"Caldwell County",29025,27.7,2416,"1849 of 3141"
"Stoddard County",29207,27.9,8089,"1874 of 3141"
"Pike County",29163,28.0,4519,"1878 of 3141"
"Macon County",29121,28.2,4234,"1897 of 3141"
"Maries County",29125,28.2,2504,"1911 of 3141"
"Miller County",29131,28.3,6948,"1923 of 3141"
"Randolph County",29175,28.4,6460,"1939 of 3141"
"Chariton County",29041,28.5,2090,"1957 of 3141"
"Jasper County",29097,28.6,33061,"1964 of 3141"
"Sullivan County",29211,28.8,1788,"1992 of 3141"
"Howard County",29089,29.1,2753,"2030 of 3141"
"Greene County",29077,29.3,80591,"2058 of 3141"
"Knox County",29103,29.6,1155,"2090 of 3141"
"Marion County",29127,29.7,8099,"2102 of 3141"
"Carter County",29035,29.7,1841,"2107 of 3141"
"Carroll County",29033,29.9,2626,"2128 of 3141"
"Vernon County",29217,30.0,5971,"2141 of 3141"
"Grundy County",29079,30.0,2941,"2142 of 3141"
"Polk County",29167,30.3,9052,"2173 of 3141"
"Mercer County",29129,30.3,1087,"2176 of 3141"
"Lawrence County",29109,30.6,11454,"2213 of 3141"
"Barton County",29011,30.7,3620,"2221 of 3141"
"Pettis County",29159,30.8,12728,"2240 of 3141"
"Henry County",29083,30.9,6608,"2246 of 3141"
"Dallas County",29059,31.0,5031,"2255 of 3141"
"Phelps County",29161,31.0,12976,"2258 of 3141"
"Saline County",29195,31.1,6742,"2264 of 3141"
"Taney County",29213,31.1,16355,"2272 of 3141"
"Reynolds County",29179,31.2,1919,"2277 of 3141"
"Schuyler County",29197,31.6,1377,"2318 of 3141"
"Scott County",29201,31.7,12080,"2334 of 3141"
"Montgomery County",29139,31.8,3573,"2340 of 3141"
"Bollinger County",29017,31.8,3897,"2344 of 3141"
"Iron County",29093,32.3,3176,"2386 of 3141"
"Benton County",29015,32.3,6018,"2391 of 3141"
"Scotland County",29199,32.4,1541,"2404 of 3141"
"Webster County",29225,32.7,11883,"2421 of 3141"
"Laclede County",29105,32.9,11501,"2439 of 3141"
"Harrison County",29081,33.0,2757,"2450 of 3141"
"Barry County",29009,33.0,11460,"2451 of 3141"
"Nodaway County",29147,33.1,6494,"2466 of 3141"
"Putnam County",29171,33.8,1614,"2534 of 3141"
"Madison County",29123,33.9,4043,"2540 of 3141"
"Washington County",29221,34.1,8031,"2551 of 3141"
"St. Clair County",29185,34.3,3122,"2573 of 3141"
"Dent County",29065,35.0,5346,"2630 of 3141"
"Dade County",29057,35.3,2608,"2658 of 3141"
"Hickory County",29085,35.6,3271,"2674 of 3141"
"Adair County",29001,35.8,8114,"2691 of 3141"
"Crawford County",29055,36.3,8723,"2738 of 3141"
"Howell County",29091,36.4,14324,"2746 of 3141"
"Butler County",29023,36.4,15258,"2752 of 3141"
"St. Louis City",29510,36.9,113030,"2785 of 3141"
"Oregon County",29149,37.0,3888,"2792 of 3141"
"McDonald County",29119,37.3,8377,"2803 of 3141"
"Cedar County",29039,37.4,5106,"2809 of 3141"
"Morgan County",29141,37.9,7450,"2833 of 3141"
"Douglas County",29067,38.1,5029,"2847 of 3141"
"Texas County",29215,38.3,9254,"2857 of 3141"
"Ripley County",29181,38.9,5314,"2882 of 3141"
"New Madrid County",29143,39.4,6945,"2896 of 3141"
"Wayne County",29223,40.3,5284,"2933 of 3141"
"Ozark County",29153,41.2,3800,"2963 of 3141"
"Dunklin County",29069,42.4,12783,"2992 of 3141"
"Shannon County",29203,42.6,3466,"2998 of 3141"
"Pemiscot County",29155,43.6,7427,"3023 of 3141"
"Wright County",29229,44.3,7969,"3032 of 3141"
"Mississippi County",29133,46.7,5663,"3070 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
