------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '29', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=29&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Missouri by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Missouri",29000,0.4,21531,"9 of 51"
"United States",00000,0.7,2074097,"N/A"
"Bollinger County",29017,0.0,0,"1 of 3140"
"Dallas County",29059,0.0,0,"1 of 3140"
"Hickory County",29085,0.0,0,"1 of 3140"
"Iron County",29093,0.0,0,"1 of 3140"
"Madison County",29123,0.0,0,"1 of 3140"
"Mercer County",29129,0.0,0,"1 of 3140"
"Miller County",29131,0.0,0,"1 of 3140"
"Moniteau County",29135,0.0,0,"1 of 3140"
"Ozark County",29153,0.0,0,"1 of 3140"
"Putnam County",29171,0.0,0,"1 of 3140"
"Reynolds County",29179,0.0,0,"1 of 3140"
"Schuyler County",29197,0.0,0,"1 of 3140"
"Scotland County",29199,0.0,0,"1 of 3140"
"Ste. Genevieve County",29186,0.0,0,"1 of 3140"
"Wayne County",29223,0.0,0,"1 of 3140"
"Worth County",29227,0.0,0,"1 of 3140"
"Webster County",29225,0.0,2,"360 of 3140"
"Lincoln County",29113,0.0,4,"366 of 3140"
"Bates County",29013,0.0,2,"380 of 3140"
"Mississippi County",29133,0.0,2,"390 of 3140"
"Shelby County",29205,0.0,2,"481 of 3140"
"Gasconade County",29073,0.0,5,"490 of 3140"
"Cass County",29037,0.0,38,"508 of 3140"
"Osage County",29151,0.0,6,"550 of 3140"
"Sullivan County",29211,0.0,3,"572 of 3140"
"Stone County",29209,0.0,15,"574 of 3140"
"Daviess County",29061,0.0,4,"580 of 3140"
"Barton County",29011,0.1,7,"629 of 3140"
"Lewis County",29111,0.1,6,"634 of 3140"
"Marion County",29127,0.1,18,"658 of 3140"
"Andrew County",29003,0.1,11,"663 of 3140"
"DeKalb County",29063,0.1,8,"666 of 3140"
"Washington County",29221,0.1,16,"673 of 3140"
"Oregon County",29149,0.1,7,"684 of 3140"
"Benton County",29015,0.1,14,"749 of 3140"
"Livingston County",29117,0.1,11,"751 of 3140"
"Camden County",29029,0.1,34,"766 of 3140"
"Newton County",29145,0.1,44,"766 of 3140"
"Chariton County",29041,0.1,6,"792 of 3140"
"Butler County",29023,0.1,34,"793 of 3140"
"Ralls County",29173,0.1,8,"797 of 3140"
"Christian County",29043,0.1,71,"842 of 3140"
"Ripley County",29181,0.1,12,"846 of 3140"
