------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"Georgia",13000,0.3,30552,"36 of 52"
"United States",00000,0.8,2632102,"N/A"
"Bacon County",13005,0.0,0,"2960 of 3141"
"Ben Hill County",13017,0.0,0,"2960 of 3141"
"Calhoun County",13037,0.0,0,"2960 of 3141"
"Clay County",13061,0.0,0,"2960 of 3141"
"Crisp County",13081,0.0,0,"2960 of 3141"
"Elbert County",13105,0.0,0,"2960 of 3141"
"Emanuel County",13107,0.0,0,"2960 of 3141"
"Hancock County",13141,0.0,0,"2960 of 3141"
"Irwin County",13155,0.0,0,"2960 of 3141"
"Jeff Davis County",13161,0.0,0,"2960 of 3141"
"Johnson County",13167,0.0,0,"2960 of 3141"
"Lanier County",13173,0.0,0,"2960 of 3141"
"Marion County",13197,0.0,0,"2960 of 3141"
"McDuffie County",13189,0.0,0,"2960 of 3141"
"Pike County",13231,0.0,0,"2960 of 3141"
"Quitman County",13239,0.0,0,"2960 of 3141"
"Randolph County",13243,0.0,0,"2960 of 3141"
"Schley County",13249,0.0,0,"2960 of 3141"
"Seminole County",13253,0.0,0,"2960 of 3141"
"Taliaferro County",13265,0.0,0,"2960 of 3141"
"Taylor County",13269,0.0,0,"2960 of 3141"
"Treutlen County",13283,0.0,0,"2960 of 3141"
"Warren County",13301,0.0,0,"2960 of 3141"
"Washington County",13303,0.0,0,"2960 of 3141"
"Wilkes County",13317,0.0,0,"2960 of 3141"
"Dooly County",13093,0.0,1,"2954 of 3141"
"Toombs County",13279,0.0,2,"2952 of 3141"
"Evans County",13109,0.0,1,"2950 of 3141"
"Telfair County",13271,0.0,4,"2913 of 3141"
"Burke County",13033,0.0,6,"2905 of 3141"
"Hart County",13147,0.0,9,"2873 of 3141"
"Putnam County",13237,0.0,8,"2870 of 3141"
"Dodge County",13091,0.0,8,"2866 of 3141"
"Heard County",13149,0.0,5,"2846 of 3141"
"Brooks County",13027,0.0,7,"2838 of 3141"
"Twiggs County",13289,0.0,4,"2825 of 3141"
"Lincoln County",13181,0.1,4,"2815 of 3141"
"Franklin County",13119,0.1,12,"2805 of 3141"
"Greene County",13133,0.1,9,"2804 of 3141"
"Henry County",13151,0.1,137,"2773 of 3141"
"Lee County",13177,0.1,19,"2763 of 3141"
"Peach County",13225,0.1,18,"2758 of 3141"
"Oconee County",13219,0.1,24,"2757 of 3141"
"Chattooga County",13055,0.1,17,"2750 of 3141"
"Butts County",13035,0.1,17,"2737 of 3141"
"Pickens County",13227,0.1,22,"2734 of 3141"
"Murray County",13213,0.1,30,"2716 of 3141"
"Webster County",13307,0.1,2,"2716 of 3141"
"Dawson County",13085,0.1,18,"2714 of 3141"
"Early County",13099,0.1,8,"2714 of 3141"
"Talbot County",13263,0.1,5,"2711 of 3141"
"Laurens County",13175,0.1,37,"2709 of 3141"
"Bleckley County",13023,0.1,10,"2708 of 3141"
"Jackson County",13157,0.1,55,"2682 of 3141"
"Lamar County",13171,0.1,16,"2672 of 3141"
"Wilkinson County",13319,0.1,8,"2672 of 3141"
"Jefferson County",13163,0.1,14,"2671 of 3141"
"Sumter County",13261,0.1,27,"2670 of 3141"
"Tift County",13277,0.1,37,"2659 of 3141"
"Wayne County",13305,0.1,31,"2616 of 3141"
"Floyd County",13115,0.1,103,"2605 of 3141"
"Clarke County",13059,0.1,136,"2586 of 3141"
"Thomas County",13275,0.1,52,"2564 of 3141"
"Habersham County",13137,0.1,51,"2561 of 3141"
"Harris County",13145,0.1,39,"2555 of 3141"
"Troup County",13285,0.1,82,"2553 of 3141"
"Douglas County",13097,0.1,166,"2551 of 3141"
"Rockdale County",13247,0.1,105,"2548 of 3141"
"Terrell County",13273,0.1,11,"2537 of 3141"
"Oglethorpe County",13221,0.1,18,"2535 of 3141"
"Effingham County",13103,0.1,72,"2517 of 3141"
"Monroe County",13207,0.1,34,"2512 of 3141"
"Morgan County",13211,0.1,24,"2484 of 3141"
"Coweta County",13077,0.1,185,"2480 of 3141"
"McIntosh County",13191,0.1,19,"2472 of 3141"
"Walker County",13295,0.1,96,"2447 of 3141"
"Mitchell County",13205,0.1,32,"2441 of 3141"
"Decatur County",13087,0.1,39,"2434 of 3141"
"Crawford County",13079,0.1,18,"2430 of 3141"
"Dougherty County",13095,0.2,145,"2378 of 3141"
"Coffee County",13069,0.2,69,"2369 of 3141"
"Jones County",13169,0.2,48,"2336 of 3141"
"Bibb County",13021,0.2,259,"2335 of 3141"
"Meriwether County",13199,0.2,36,"2324 of 3141"
"Pulaski County",13235,0.2,21,"2249 of 3141"
"Baker County",13007,0.2,6,"2246 of 3141"
"Jasper County",13159,0.2,26,"2218 of 3141"
"Paulding County",13223,0.2,289,"2214 of 3141"
"Brantley County",13025,0.2,35,"2212 of 3141"
"Catoosa County",13047,0.2,132,"2161 of 3141"
"Walton County",13297,0.2,188,"2103 of 3141"
"Richmond County",13245,0.2,437,"2083 of 3141"
"Long County",13183,0.2,39,"2077 of 3141"
"Cobb County",13067,0.2,1656,"2049 of 3141"
"Lowndes County",13185,0.2,263,"2026 of 3141"
"Haralson County",13143,0.2,67,"2015 of 3141"
"Forsyth County",13117,0.2,495,"2008 of 3141"
"White County",13311,0.2,67,"2004 of 3141"
"Turner County",13287,0.2,19,"1999 of 3141"
"Clayton County",13063,0.2,681,"1958 of 3141"
"Barrow County",13013,0.3,191,"1931 of 3141"
"Baldwin County",13009,0.3,117,"1919 of 3141"
"Stewart County",13259,0.3,15,"1917 of 3141"
"Banks County",13011,0.3,48,"1896 of 3141"
"Hall County",13139,0.3,510,"1874 of 3141"
"Stephens County",13257,0.3,69,"1854 of 3141"
"Wilcox County",13315,0.3,25,"1807 of 3141"
"Screven County",13251,0.3,40,"1794 of 3141"
