------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"United States",00000,14.6,45650345,"N/A"
"Georgia",13000,16.9,1679030,"42 of 52"
"Fayette County",13113,6.3,6907,"103 of 3141"
"Forsyth County",13117,6.5,13643,"113 of 3141"
"Oconee County",13219,6.9,2476,"139 of 3141"
"Harris County",13145,7.3,2382,"169 of 3141"
"Columbia County",13073,8.6,12269,"300 of 3141"
"Cherokee County",13057,9.4,22072,"438 of 3141"
"Effingham County",13103,9.6,5405,"458 of 3141"
"Paulding County",13223,9.7,14716,"480 of 3141"
"Pickens County",13227,9.8,2964,"507 of 3141"
"Catoosa County",13047,10.8,7045,"677 of 3141"
"Cobb County",13067,10.9,79127,"688 of 3141"
"Henry County",13151,11.4,24638,"798 of 3141"
"Glascock County",13125,11.5,339,"824 of 3141"
"Coweta County",13077,11.6,15900,"841 of 3141"
"Lee County",13177,11.6,3281,"852 of 3141"
"Dawson County",13085,11.8,2729,"889 of 3141"
"Gwinnett County",13135,12.1,107267,"944 of 3141"
"Pike County",13231,12.3,2148,"963 of 3141"
"Jackson County",13157,12.5,7898,"1007 of 3141"
"Camden County",13039,12.7,6413,"1047 of 3141"
"Walton County",13297,12.8,11200,"1068 of 3141"
"Union County",13291,12.8,2788,"1071 of 3141"
"Barrow County",13013,13.2,9829,"1157 of 3141"
"Monroe County",13207,13.3,3415,"1194 of 3141"
"Morgan County",13211,13.4,2374,"1210 of 3141"
"Bryan County",13029,14.1,4897,"1357 of 3141"
"Jones County",13169,14.2,4001,"1371 of 3141"
"Bartow County",13015,14.2,14417,"1382 of 3141"
"Douglas County",13097,14.2,19690,"1384 of 3141"
"Banks County",13011,14.3,2629,"1405 of 3141"
"Towns County",13281,14.7,1516,"1463 of 3141"
"Chattahoochee County",13053,15.0,1139,"1541 of 3141"
"Fannin County",13111,15.8,3806,"1693 of 3141"
"Fulton County",13121,16.0,156519,"1739 of 3141"
"Hall County",13139,16.1,30634,"1755 of 3141"
"Putnam County",13237,16.2,3425,"1772 of 3141"
"Rockdale County",13247,16.3,14232,"1781 of 3141"
"Liberty County",13179,16.6,9931,"1840 of 3141"
"Houston County",13153,16.7,24745,"1881 of 3141"
"Newton County",13217,16.7,17328,"1888 of 3141"
"Talbot County",13263,16.9,1070,"1916 of 3141"
"Walker County",13295,17.2,11523,"1979 of 3141"
"Habersham County",13137,17.2,7114,"1990 of 3141"
"Chatham County",13051,17.3,47119,"2002 of 3141"
"Heard County",13149,17.4,1975,"2031 of 3141"
"Dade County",13083,17.5,2619,"2049 of 3141"
"Oglethorpe County",13221,17.6,2543,"2053 of 3141"
"Madison County",13195,17.6,4977,"2059 of 3141"
"DeKalb County",13089,17.6,127299,"2069 of 3141"
"White County",13311,17.7,4981,"2091 of 3141"
"Haralson County",13143,18.0,5064,"2142 of 3141"
"Murray County",13213,18.0,7026,"2155 of 3141"
"Crawford County",13079,18.1,2207,"2160 of 3141"
"Stephens County",13257,18.1,4504,"2164 of 3141"
"Floyd County",13115,18.1,16774,"2174 of 3141"
"Carroll County",13045,18.6,20705,"2249 of 3141"
"Peach County",13225,18.7,4685,"2259 of 3141"
"Gilmer County",13123,18.8,5520,"2278 of 3141"
"Gordon County",13129,18.8,10466,"2280 of 3141"
"Hart County",13147,18.8,4642,"2284 of 3141"
"Polk County",13233,19.0,7781,"2298 of 3141"
"Whitfield County",13313,19.2,19710,"2321 of 3141"
"Glynn County",13127,19.2,15773,"2324 of 3141"
"Jasper County",13159,19.4,2623,"2356 of 3141"
"Webster County",13307,19.5,509,"2360 of 3141"
"Montgomery County",13209,19.5,1593,"2362 of 3141"
"Baker County",13007,19.5,634,"2364 of 3141"
"Thomas County",13275,19.5,8580,"2365 of 3141"
"Long County",13183,20.0,3530,"2426 of 3141"
"Lumpkin County",13187,20.1,6052,"2438 of 3141"
