------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Georgia",13000,26.4,554712,"49 of 51"
"Dougherty County",13095,17.2,5008,"1519 of 3139"
"Liberty County",13179,17.4,2725,"1555 of 3139"
"Chattahoochee County",13053,17.8,443,"1623 of 3139"
"Richmond County",13245,18.2,10002,"1677 of 3139"
"Upson County",13293,18.7,1288,"1754 of 3139"
"Bibb County",13021,19.4,8462,"1859 of 3139"
"Early County",13099,19.4,637,"1859 of 3139"
"Clay County",13061,19.6,189,"1895 of 3139"
"Muscogee County",13215,19.7,9374,"1917 of 3139"
"Emanuel County",13107,19.8,1326,"1928 of 3139"
"Wayne County",13305,20.0,1442,"1963 of 3139"
"Jefferson County",13163,20.1,915,"1976 of 3139"
"Laurens County",13175,20.1,2720,"1976 of 3139"
"Ware County",13299,20.1,2026,"1976 of 3139"
"Randolph County",13243,20.2,399,"1997 of 3139"
"Jenkins County",13165,20.5,492,"2037 of 3139"
"Wheeler County",13309,20.6,344,"2053 of 3139"
"Burke County",13033,20.7,1362,"2073 of 3139"
"McDuffie County",13189,20.7,1200,"2073 of 3139"
"Spalding County",13255,20.7,3580,"2073 of 3139"
"Wilkinson County",13319,20.7,431,"2073 of 3139"
"Crisp County",13081,21.0,1639,"2115 of 3139"
"Bleckley County",13023,21.1,591,"2120 of 3139"
"Johnson County",13167,21.3,443,"2143 of 3139"
"Ben Hill County",13017,21.4,1191,"2158 of 3139"
"Meriwether County",13199,21.4,1186,"2158 of 3139"
"Irwin County",13155,21.6,490,"2182 of 3139"
"Troup County",13285,21.6,3694,"2182 of 3139"
"Miller County",13201,21.7,324,"2192 of 3139"
"Washington County",13303,21.7,1103,"2192 of 3139"
"Seminole County",13253,21.8,454,"2202 of 3139"
"Treutlen County",13283,21.8,381,"2202 of 3139"
"Warren County",13301,21.9,324,"2217 of 3139"
"Baldwin County",13009,22.0,2762,"2232 of 3139"
"Haralson County",13143,22.1,1514,"2245 of 3139"
"Stephens County",13257,22.1,1459,"2245 of 3139"
"Sumter County",13261,22.1,2045,"2245 of 3139"
"Telfair County",13271,22.1,857,"2245 of 3139"
"Lamar County",13171,22.2,934,"2259 of 3139"
"Terrell County",13273,22.2,609,"2259 of 3139"
"Catoosa County",13047,22.4,2425,"2285 of 3139"
