------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Georgia",13000,2.9,107760,"35 of 51"
"United States",00000,4.5,5305440,"N/A"
"Baker County",13007,0.0,0,"1 of 3140"
"Clay County",13061,0.0,0,"1 of 3140"
"Crawford County",13079,0.0,0,"1 of 3140"
"Early County",13099,0.0,0,"1 of 3140"
"Glascock County",13125,0.0,0,"1 of 3140"
"Hancock County",13141,0.0,0,"1 of 3140"
"Johnson County",13167,0.0,0,"1 of 3140"
"Lamar County",13171,0.0,0,"1 of 3140"
"Lanier County",13173,0.0,0,"1 of 3140"
"Meriwether County",13199,0.0,0,"1 of 3140"
"Miller County",13201,0.0,0,"1 of 3140"
"Pike County",13231,0.0,0,"1 of 3140"
"Pulaski County",13235,0.0,0,"1 of 3140"
"Quitman County",13239,0.0,0,"1 of 3140"
"Randolph County",13243,0.0,0,"1 of 3140"
"Seminole County",13253,0.0,0,"1 of 3140"
"Taylor County",13269,0.0,0,"1 of 3140"
"Worth County",13321,0.0,0,"1 of 3140"
"Ware County",13299,0.0,6,"323 of 3140"
"Harris County",13145,0.1,11,"389 of 3140"
"Butts County",13035,0.1,9,"418 of 3140"
"Brantley County",13025,0.1,8,"435 of 3140"
"Terrell County",13273,0.1,4,"437 of 3140"
"Turner County",13287,0.1,4,"453 of 3140"
"Heard County",13149,0.1,6,"471 of 3140"
"Towns County",13281,0.2,8,"547 of 3140"
"Jones County",13169,0.2,19,"558 of 3140"
"Charlton County",13049,0.2,8,"642 of 3140"
"Washington County",13303,0.2,17,"649 of 3140"
"Lincoln County",13181,0.2,8,"654 of 3140"
"Haralson County",13143,0.3,32,"764 of 3140"
"Decatur County",13087,0.3,34,"838 of 3140"
"Emanuel County",13107,0.3,28,"844 of 3140"
"Walker County",13295,0.3,89,"874 of 3140"
"Telfair County",13271,0.3,18,"876 of 3140"
"Clinch County",13065,0.4,10,"946 of 3140"
"Irwin County",13155,0.4,13,"956 of 3140"
"Wilkinson County",13319,0.4,13,"964 of 3140"
"Crisp County",13081,0.4,33,"968 of 3140"
"Screven County",13251,0.4,23,"1044 of 3140"
"Warren County",13301,0.4,10,"1051 of 3140"
"Lumpkin County",13187,0.5,62,"1191 of 3140"
"Webster County",13307,0.6,6,"1200 of 3140"
"White County",13311,0.6,62,"1202 of 3140"
"Lee County",13177,0.6,57,"1209 of 3140"
"Upson County",13293,0.6,57,"1211 of 3140"
"Dooly County",13093,0.6,29,"1219 of 3140"
"Jefferson County",13163,0.6,34,"1258 of 3140"
"Calhoun County",13037,0.6,11,"1264 of 3140"
"Dade County",13083,0.6,37,"1296 of 3140"
"Schley County",13249,0.6,12,"1310 of 3140"
"Thomas County",13275,0.6,108,"1316 of 3140"
"Spalding County",13255,0.7,154,"1356 of 3140"
"Wheeler County",13309,0.7,13,"1361 of 3140"
"Walton County",13297,0.7,204,"1374 of 3140"
"Catoosa County",13047,0.7,167,"1380 of 3140"
"McIntosh County",13191,0.7,39,"1388 of 3140"
"Hart County",13147,0.7,71,"1432 of 3140"
"Laurens County",13175,0.7,127,"1444 of 3140"
"Stephens County",13257,0.7,69,"1449 of 3140"
"Franklin County",13119,0.7,61,"1451 of 3140"
"Oglethorpe County",13221,0.8,43,"1490 of 3140"
"Effingham County",13103,0.8,150,"1493 of 3140"
"Talbot County",13263,0.8,23,"1558 of 3140"
"Baldwin County",13009,0.8,135,"1560 of 3140"
"Burke County",13033,0.8,67,"1565 of 3140"
"Dawson County",13085,0.8,72,"1579 of 3140"
"Brooks County",13027,0.9,54,"1591 of 3140"
"Paulding County",13223,0.9,439,"1592 of 3140"
"Morgan County",13211,0.9,58,"1600 of 3140"
"Pickens County",13227,0.9,100,"1609 of 3140"
"Camden County",13039,0.9,170,"1629 of 3140"
"Fannin County",13111,0.9,92,"1636 of 3140"
"Henry County",13151,0.9,685,"1671 of 3140"
"Madison County",13195,0.9,100,"1676 of 3140"
"Banks County",13011,1.0,64,"1701 of 3140"
"Dougherty County",13095,1.0,351,"1724 of 3140"
"Chattooga County",13055,1.0,94,"1732 of 3140"
"Union County",13291,1.0,90,"1742 of 3140"
"Ben Hill County",13017,1.0,66,"1760 of 3140"
"Pierce County",13229,1.1,74,"1777 of 3140"
"Bryan County",13029,1.1,133,"1785 of 3140"
"Jackson County",13157,1.1,235,"1789 of 3140"
"Lowndes County",13185,1.1,444,"1804 of 3140"
"Stewart County",13259,1.1,20,"1823 of 3140"
"Bibb County",13021,1.2,667,"1855 of 3140"
"Marion County",13197,1.2,38,"1856 of 3140"
"Cook County",13075,1.2,71,"1865 of 3140"
"Mitchell County",13205,1.2,95,"1881 of 3140"
"Richmond County",13245,1.2,863,"1885 of 3140"
"Bulloch County",13031,1.2,322,"1893 of 3140"
"McDuffie County",13189,1.3,102,"1919 of 3140"
"Twiggs County",13289,1.3,37,"1925 of 3140"
"Bleckley County",13023,1.3,53,"1940 of 3140"
"Elbert County",13105,1.3,99,"1946 of 3140"
"Newton County",13217,1.3,474,"1977 of 3140"
"Berrien County",13019,1.3,97,"1983 of 3140"
"Macon County",13193,1.5,68,"2062 of 3140"
"Treutlen County",13283,1.5,39,"2068 of 3140"
"Fayette County",13113,1.5,595,"2079 of 3140"
"Barrow County",13013,1.5,375,"2087 of 3140"
"Dodge County",13091,1.5,120,"2092 of 3140"
"Oconee County",13219,1.5,194,"2096 of 3140"
"Wilcox County",13315,1.5,41,"2102 of 3140"
"Wayne County",13305,1.5,159,"2103 of 3140"
"Jenkins County",13165,1.5,52,"2111 of 3140"
"Greene County",13133,1.6,106,"2130 of 3140"
"Candler County",13043,1.6,66,"2176 of 3140"
"Chatham County",13051,1.6,1765,"2178 of 3140"
"Houston County",13153,1.7,940,"2212 of 3140"
"Carroll County",13045,1.7,719,"2227 of 3140"
"Peach County",13225,1.8,179,"2238 of 3140"
"Sumter County",13261,1.8,212,"2245 of 3140"
"Columbia County",13073,1.8,824,"2251 of 3140"
"Wilkes County",13317,1.8,72,"2260 of 3140"
"Muscogee County",13215,1.9,1389,"2288 of 3140"
"Troup County",13285,1.9,469,"2289 of 3140"
"Long County",13183,1.9,105,"2305 of 3140"
"Toombs County",13279,2.0,210,"2322 of 3140"
"Monroe County",13207,2.0,193,"2331 of 3140"
"Glynn County",13127,2.0,674,"2337 of 3140"
"Murray County",13213,2.0,288,"2338 of 3140"
"Douglas County",13097,2.1,1002,"2352 of 3140"
"Taliaferro County",13265,2.1,15,"2367 of 3140"
"Tift County",13277,2.1,321,"2371 of 3140"
"Putnam County",13237,2.2,187,"2381 of 3140"
"Cherokee County",13057,2.2,1858,"2413 of 3140"
"Coweta County",13077,2.2,1130,"2414 of 3140"
"Floyd County",13115,2.2,797,"2419 of 3140"
"Coffee County",13069,2.3,325,"2427 of 3140"
"Appling County",13001,2.4,160,"2474 of 3140"
"Liberty County",13179,2.4,552,"2477 of 3140"
"Polk County",13233,2.4,358,"2479 of 3140"
"Chattahoochee County",13053,2.4,60,"2482 of 3140"
"Bartow County",13015,2.4,903,"2489 of 3140"
"Tattnall County",13267,2.4,196,"2490 of 3140"
"Jasper County",13159,2.5,127,"2510 of 3140"
"Rabun County",13241,2.6,166,"2528 of 3140"
"Montgomery County",13209,2.9,88,"2612 of 3140"
"Fulton County",13121,3.0,11686,"2630 of 3140"
"Bacon County",13005,3.0,120,"2635 of 3140"
"Habersham County",13137,3.0,460,"2643 of 3140"
"Forsyth County",13117,3.2,2283,"2677 of 3140"
