------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=09&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '09', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=09&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Connecticut by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Connecticut",09000,10.5,376240,"22 of 52"
"United States",00000,12.7,40610815,"N/A"
"Litchfield County",09005,1.9,3560,"1647 of 3141"
"Windham County",09015,2.2,2617,"1570 of 3141"
"Tolland County",09013,3.2,4797,"1385 of 3141"
"Middlesex County",09007,5.1,8442,"1124 of 3141"
"New London County",09011,5.7,15556,"1065 of 3141"
"Fairfield County",09001,11.3,107305,"734 of 3141"
"New Haven County",09009,13.0,112152,"679 of 3141"
"Hartford County",09003,13.6,121811,"653 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
