------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=08&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '08', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=08&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Colorado by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Colorado(6)",08000,Yes,41.9 ,40.8, 43,1228,33.0
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Las Animas County(6)",08071,No,49.6 ,28.9, 79.5,4,35.0
"Pitkin County(6)",08097,No,49.4 ,33.3, 72.2,7,39.3
"Chaffee County(6)",08015,No,46.9 ,29.6, 71.5,6,30.8
"Broomfield County(6)",08014,No,46.6 ,36.9, 58.2,16,37.5
"Delta County(6)",08029,No,45.4 ,32.6, 62.1,10,42.1
"El Paso County(6)",08041,No,45.2 ,42, 48.6,154,35.5
"Denver County(6)",08031,No,44.9 ,41.6, 48.3,148,34.5
"Rio Grande County(6)",08105,No,44.8 ,24.6, 75.5,3,44.4
"Larimer County(6)",08069,No,44.5 ,40, 49.3,78,32.3
"Teller County(6)",08119,No,44.3 ,29.4, 65,7,33.0
"Boulder County(6)",08013,No,43.3 ,38.9, 48.1,74,32.0
"Jefferson County(6)",08059,No,43 ,39.8, 46.3,147,32.6
"Adams County(6)",08001,No,42.2 ,38.4, 46.2,96,36.5
"Arapahoe County(6)",08005,No,42.1 ,39, 45.4,142,30.7
"Pueblo County(6)",08101,Yes,41.6 ,35.7, 48.1,41,32.7
"Gunnison County(6)",08051,Yes,41.2 ,22.8, 69.1,3,34.8
"Prowers County(6)",08099,Yes,40.9 ,22.4, 69.1,3,41.0
"Alamosa County(6)",08003,Yes,40.1 ,22.2, 66.4,3,32.7
"Elbert County(6)",08039,Yes,39.5 ,25.5, 59.1,6,30.0
"Douglas County(6)",08035,Yes,39.3 ,35.1, 44,67,28.5
"Fremont County(6)",08043,Yes,39.3 ,29.1, 52.2,12,31.7
"La Plata County(6)",08067,Yes,38.9 ,29.5, 50.5,13,34.4
"Archuleta County(6)",08007,Yes,38.8 ,21.5, 66.4,4,36.5
"Weld County(6)",08123,Yes,38.1 ,33.6, 43.1,54,33.1
"Montrose County(6)",08085,Yes,37.4 ,27.9, 49.5,12,31.9
"Garfield County(6)",08045,Yes,37.4 ,28.1, 48.9,11,36.1
"Mesa County(6)",08077,Yes,36 ,30.4, 42.4,32,29.6
"Logan County(6)",08075,Yes,34.9 ,21, 55,4,30.9
"Otero County(6)",08089,Yes,34.7 ,21.4, 54,5,35.4
"Park County(6)",08093,Yes,33.2 ,18.4, 57.1,4,35.8
"Routt County(6)",08107,Yes,32.4 ,18.9, 52,4,21.8
"Grand County(6)",08049,Yes,31.9 ,17.6, 55.2,3,39.5
"Montezuma County(6)",08083,Yes,31.6 ,20.7, 46.7,6,30.3
"Eagle County(6)",08037,Yes,29.9 ,20.6, 42.1,8,31.2
"Summit County(6)",08117,Yes,28.8 ,17.5, 45.7,4,39.3
"Morgan County(6)",08087,Yes,23.9 ,14.3, 37.7,4,23.3
