------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"New Hampshire",33000,1.5,7644,"48 of 52"
"United States",00000,3.3,3975282,"N/A"
"Sullivan County",33019,0.8,148,"2793 of 3141"
"Coos County",33007,1.0,134,"2652 of 3141"
"Rockingham County",33015,1.2,1407,"2416 of 3141"
"Cheshire County",33005,1.2,364,"2386 of 3141"
"Belknap County",33001,1.2,294,"2381 of 3141"
"Merrimack County",33013,1.3,727,"2306 of 3141"
"Carroll County",33003,1.5,319,"2021 of 3141"
"Strafford County",33017,1.5,742,"1989 of 3141"
"Grafton County",33009,1.6,561,"1907 of 3141"
"Hillsborough County",33011,1.9,2948,"1634 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
