------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"New Hampshire",33000,3.4,45266,"47 of 52"
"United States",00000,17.6,56510571,"N/A"
"Carroll County",33003,1.4,649,"2769 of 3141"
"Sullivan County",33019,1.4,620,"2724 of 3141"
"Belknap County",33001,1.6,951,"2620 of 3141"
"Coos County",33007,1.7,549,"2555 of 3141"
"Cheshire County",33005,1.7,1302,"2551 of 3141"
"Merrimack County",33013,2.0,2936,"2393 of 3141"
"Strafford County",33017,2.2,2792,"2262 of 3141"
"Grafton County",33009,2.2,1984,"2254 of 3141"
"Rockingham County",33015,2.7,8054,"2045 of 3141"
"Hillsborough County",33011,6.3,25429,"1087 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Hispanic, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
