------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"New Hampshire",33000,7.6,99836,"13 of 51"
"United States",00000,8.4,26717038,"N/A"
"Rockingham County",33015,5.6,16685,"1196 of 3140"
"Belknap County",33001,5.9,3539,"1383 of 3140"
"Carroll County",33003,6.1,2884,"1483 of 3140"
"Merrimack County",33013,6.2,9055,"1521 of 3140"
"Grafton County",33009,6.3,5549,"1559 of 3140"
"Coos County",33007,7.9,2520,"2239 of 3140"
"Sullivan County",33019,8.3,3547,"2360 of 3140"
"Hillsborough County",33011,8.8,35205,"2487 of 3140"
"Cheshire County",33005,10.1,7614,"2799 of 3140"
"Strafford County",33017,10.6,13238,"2877 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
