------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"New Hampshire",33000,2.5,33602,"29 of 52"
"United States",00000,5.5,17756436,"N/A"
"Carroll County",33003,0.6,287,"1658 of 3141"
"Sullivan County",33019,0.7,285,"1540 of 3141"
"Coos County",33007,0.7,219,"1505 of 3141"
"Belknap County",33001,1.0,595,"1092 of 3141"
"Cheshire County",33005,1.3,995,"813 of 3141"
"Merrimack County",33013,1.8,2628,"604 of 3141"
"Rockingham County",33015,1.9,5808,"566 of 3141"
"Strafford County",33017,3.3,4154,"293 of 3141"
"Grafton County",33009,3.4,3069,"275 of 3141"
"Hillsborough County",33011,3.8,15562,"244 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
