------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"New Hampshire",33000,5.9,78869,"31 of 51"
"United States",00000,13.4,43028127,"N/A"
"Sullivan County",33019,2.3,999,"1737 of 3140"
"Belknap County",33001,2.7,1613,"1584 of 3140"
"Carroll County",33003,2.8,1349,"1497 of 3140"
"Cheshire County",33005,3.2,2403,"1367 of 3140"
"Coos County",33007,3.7,1183,"1209 of 3140"
"Rockingham County",33015,4.8,14381,"960 of 3140"
"Merrimack County",33013,4.8,7124,"948 of 3140"
"Strafford County",33017,5.4,6892,"842 of 3140"
"Grafton County",33009,5.8,5184,"773 of 3140"
"Hillsborough County",33011,9.3,37741,"395 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
