------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"New Hampshire",33000,14.0,180387,"1 of 52"
"United States",00000,23.7,74202606,"N/A"
"Rockingham County",33015,8.9,26606,"21 of 3141"
"Merrimack County",33013,13.4,18938,"153 of 3141"
"Hillsborough County",33011,14.0,55683,"179 of 3141"
"Belknap County",33001,15.7,9331,"280 of 3141"
"Strafford County",33017,16.8,19794,"373 of 3141"
"Cheshire County",33005,17.5,12496,"439 of 3141"
"Sullivan County",33019,17.8,7527,"467 of 3141"
"Carroll County",33003,17.9,8412,"487 of 3141"
"Grafton County",33009,18.1,14942,"498 of 3141"
"Coos County",33007,22.2,6658,"1036 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
