------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"New Hampshire",33000,4.5,33566,"8 of 52"
"United States",00000,6.6,10560305,"N/A"
"Sullivan County",33019,3.7,837,"531 of 3141"
"Merrimack County",33013,4.0,3239,"625 of 3141"
"Grafton County",33009,4.0,1934,"639 of 3141"
"Rockingham County",33015,4.3,7729,"746 of 3141"
"Strafford County",33017,4.4,3189,"784 of 3141"
"Cheshire County",33005,4.5,1883,"819 of 3141"
"Carroll County",33003,4.7,1146,"905 of 3141"
"Hillsborough County",33011,4.8,11063,"958 of 3141"
"Belknap County",33001,4.9,1589,"1009 of 3141"
"Coos County",33007,6.1,957,"1596 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
