------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"New Hampshire",33000,50.5,672717,"23 of 52"
"United States",00000,50.8,162985654,"N/A"
"Coos County",33007,47.3,15196,"273 of 3141"
"Carroll County",33003,50.1,23790,"1249 of 3141"
"Hillsborough County",33011,50.3,204596,"1518 of 3141"
"Rockingham County",33015,50.5,152701,"1662 of 3141"
"Sullivan County",33019,50.6,21810,"1863 of 3141"
"Merrimack County",33013,50.8,75094,"2003 of 3141"
"Grafton County",33009,50.8,45328,"2025 of 3141"
"Belknap County",33001,50.8,30678,"2061 of 3141"
"Strafford County",33017,51.1,64614,"2302 of 3141"
"Cheshire County",33005,51.1,38910,"2376 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
