------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"New Hampshire",33000,1.4,18632,"46 of 52"
"United States",00000,12.7,40610815,"N/A"
"Belknap County",33001,0.5,290,"2552 of 3141"
"Carroll County",33003,0.5,235,"2530 of 3141"
"Sullivan County",33019,0.5,236,"2471 of 3141"
"Rockingham County",33015,0.7,2214,"2248 of 3141"
"Cheshire County",33005,0.8,582,"2230 of 3141"
"Strafford County",33017,0.9,1097,"2137 of 3141"
"Grafton County",33009,1.2,1088,"1929 of 3141"
"Merrimack County",33013,1.2,1813,"1925 of 3141"
"Coos County",33007,2.4,768,"1535 of 3141"
"Hillsborough County",33011,2.5,10309,"1501 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
