------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"New Hampshire",33000,7.2,67278,"2 of 52"
"United States",00000,12.7,27437114,"N/A"
"Rockingham County",33015,5.0,10843,"102 of 3141"
"Carroll County",33003,6.6,2412,"292 of 3141"
"Merrimack County",33013,6.7,7010,"307 of 3141"
"Cheshire County",33005,7.1,3720,"353 of 3141"
"Grafton County",33009,7.5,4647,"442 of 3141"
"Strafford County",33017,7.6,6179,"467 of 3141"
"Belknap County",33001,7.6,3389,"487 of 3141"
"Hillsborough County",33011,8.2,23276,"620 of 3141"
"Sullivan County",33019,9.3,2926,"860 of 3141"
"Coos County",33007,11.7,2876,"1432 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
