------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"New Hampshire",33000,19.8,263857,"49 of 52"
"United States",00000,22.9,73601279,"N/A"
"Carroll County",33003,16.6,7878,"3026 of 3141"
"Coos County",33007,16.7,5368,"3010 of 3141"
"Grafton County",33009,16.9,15095,"2993 of 3141"
"Cheshire County",33005,18.3,13920,"2848 of 3141"
"Belknap County",33001,19.2,11566,"2712 of 3141"
"Strafford County",33017,19.3,24363,"2690 of 3141"
"Sullivan County",33019,19.5,8410,"2607 of 3141"
"Merrimack County",33013,19.8,29289,"2541 of 3141"
"Rockingham County",33015,20.3,61281,"2408 of 3141"
"Hillsborough County",33011,21.3,86687,"2034 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
