------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '33', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=33&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New Hampshire by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"New Hampshire",33000,0.2,2148,"52 of 52"
"United States",00000,0.8,2632102,"N/A"
"Strafford County",33017,0.0,59,"2830 of 3141"
"Carroll County",33003,0.1,37,"2710 of 3141"
"Hillsborough County",33011,0.1,458,"2579 of 3141"
"Rockingham County",33015,0.1,384,"2510 of 3141"
"Merrimack County",33013,0.1,198,"2482 of 3141"
"Cheshire County",33005,0.2,137,"2268 of 3141"
"Belknap County",33001,0.3,172,"1795 of 3141"
"Sullivan County",33019,0.3,150,"1536 of 3141"
"Coos County",33007,0.4,138,"1305 of 3141"
"Grafton County",33009,0.5,415,"1231 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
